Index	Average	Type
NaN	0	Negative
NaN	4.6734853728381	Positive
64	7.25703940740219	Target
65	-5.49251283703276	Target
66	-5.50098290370591	Target
67	-2.28385843950529	Target
68	-1.44280954074049	Target
69	2.53485651604408	Target
NaN	0	Negative
70	0.165144635808336	Target
71	-3.74577380864233	Target
72	-4.3252893617305	Target
73	-4.14869297530562	Target
74	1.17901813086796	Target
75	0.835157990128524	Target
76	-3.47545495431616	Target
NaN	0	Negative
77	-5.16723582099385	Target
78	-0.234986070372093	Target
79	-5.26197628642214	Target
80	-6.04005797531315	Target
81	-2.29765318024524	Target
82	8.75953572839632	Target
83	-4.49043022222197	Target
NaN	0	Negative
84	-5.92119461727859	Target
85	0.200448201234843	Target
86	-2.9084106950624	Target
87	0.585948307410069	Target
88	-2.16670324690962	Target
89	-0.276364176543368	Target
90	-0.772150766669335	Target
NaN	0	Negative
91	-1.38419172098598	Target
92	0.299649324687728	Target
93	-0.626164987652845	Target
94	-0.600958224688648	Target
95	2.99191422963104	Target
96	-1.16588930987685	Target
97	2.45481928888694	Target
NaN	0	Negative
98	-6.67697631728327	Target
99	-5.9202571382715	Target
100	6.48672631358572	Target
101	-13.7228905777821	Target
102	15.8916196851898	Target
103	7.60832717036954	Target
104	-1.72845617777838	Target
