210913_Cbl-b_A03-H11 Fc=2-1 - 1_X	210913_Cbl-b_A03-H11 Fc=2-1 - 1_Y	210913_Cbl-b_A03-H11 Fc=2-1 - 2_X	210913_Cbl-b_A03-H11 Fc=2-1 - 2_Y	210913_Cbl-b_A03-H11 Fc=2-1 - 3_X	210913_Cbl-b_A03-H11 Fc=2-1 - 3_Y	210913_Cbl-b_A03-H11 Fc=2-1 - 4_X	210913_Cbl-b_A03-H11 Fc=2-1 - 4_Y	210913_Cbl-b_A03-H11 Fc=2-1 - 5_X	210913_Cbl-b_A03-H11 Fc=2-1 - 5_Y	210913_Cbl-b_A03-H11 Fc=2-1 - 6_X	210913_Cbl-b_A03-H11 Fc=2-1 - 6_Y	210913_Cbl-b_A03-H11 Fc=2-1 - 7_X	210913_Cbl-b_A03-H11 Fc=2-1 - 7_Y	210913_Cbl-b_A03-H11 Fc=2-1 - 8_X	210913_Cbl-b_A03-H11 Fc=2-1 - 8_Y	210913_Cbl-b_A03-H11 Fc=2-1 - 9_X	210913_Cbl-b_A03-H11 Fc=2-1 - 9_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 10_X	210913_Cbl-b_A03-H1 Fc=2-1 - 10_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 11_X	210913_Cbl-b_A03-H1 Fc=2-1 - 11_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 12_X	210913_Cbl-b_A03-H1 Fc=2-1 - 12_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 13_X	210913_Cbl-b_A03-H1 Fc=2-1 - 13_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 14_X	210913_Cbl-b_A03-H1 Fc=2-1 - 14_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 15_X	210913_Cbl-b_A03-H1 Fc=2-1 - 15_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 16_X	210913_Cbl-b_A03-H1 Fc=2-1 - 16_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 17_X	210913_Cbl-b_A03-H1 Fc=2-1 - 17_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 18_X	210913_Cbl-b_A03-H1 Fc=2-1 - 18_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 19_X	210913_Cbl-b_A03-H1 Fc=2-1 - 19_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 20_X	210913_Cbl-b_A03-H1 Fc=2-1 - 20_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 21_X	210913_Cbl-b_A03-H1 Fc=2-1 - 21_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 22_X	210913_Cbl-b_A03-H1 Fc=2-1 - 22_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 23_X	210913_Cbl-b_A03-H1 Fc=2-1 - 23_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 24_X	210913_Cbl-b_A03-H1 Fc=2-1 - 24_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 25_X	210913_Cbl-b_A03-H1 Fc=2-1 - 25_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 26_X	210913_Cbl-b_A03-H1 Fc=2-1 - 26_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 27_X	210913_Cbl-b_A03-H1 Fc=2-1 - 27_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 28_X	210913_Cbl-b_A03-H1 Fc=2-1 - 28_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 29_X	210913_Cbl-b_A03-H1 Fc=2-1 - 29_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 30_X	210913_Cbl-b_A03-H1 Fc=2-1 - 30_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 31_X	210913_Cbl-b_A03-H1 Fc=2-1 - 31_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 32_X	210913_Cbl-b_A03-H1 Fc=2-1 - 32_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 33_X	210913_Cbl-b_A03-H1 Fc=2-1 - 33_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 34_X	210913_Cbl-b_A03-H1 Fc=2-1 - 34_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 35_X	210913_Cbl-b_A03-H1 Fc=2-1 - 35_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 36_X	210913_Cbl-b_A03-H1 Fc=2-1 - 36_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 37_X	210913_Cbl-b_A03-H1 Fc=2-1 - 37_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 38_X	210913_Cbl-b_A03-H1 Fc=2-1 - 38_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 39_X	210913_Cbl-b_A03-H1 Fc=2-1 - 39_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 40_X	210913_Cbl-b_A03-H1 Fc=2-1 - 40_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 41_X	210913_Cbl-b_A03-H1 Fc=2-1 - 41_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 42_X	210913_Cbl-b_A03-H1 Fc=2-1 - 42_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 43_X	210913_Cbl-b_A03-H1 Fc=2-1 - 43_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 44_X	210913_Cbl-b_A03-H1 Fc=2-1 - 44_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 45_X	210913_Cbl-b_A03-H1 Fc=2-1 - 45_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 46_X	210913_Cbl-b_A03-H1 Fc=2-1 - 46_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 47_X	210913_Cbl-b_A03-H1 Fc=2-1 - 47_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 48_X	210913_Cbl-b_A03-H1 Fc=2-1 - 48_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 49_X	210913_Cbl-b_A03-H1 Fc=2-1 - 49_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 50_X	210913_Cbl-b_A03-H1 Fc=2-1 - 50_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 51_X	210913_Cbl-b_A03-H1 Fc=2-1 - 51_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 52_X	210913_Cbl-b_A03-H1 Fc=2-1 - 52_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 53_X	210913_Cbl-b_A03-H1 Fc=2-1 - 53_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 54_X	210913_Cbl-b_A03-H1 Fc=2-1 - 54_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 55_X	210913_Cbl-b_A03-H1 Fc=2-1 - 55_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 56_X	210913_Cbl-b_A03-H1 Fc=2-1 - 56_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 57_X	210913_Cbl-b_A03-H1 Fc=2-1 - 57_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 58_X	210913_Cbl-b_A03-H1 Fc=2-1 - 58_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 59_X	210913_Cbl-b_A03-H1 Fc=2-1 - 59_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 60_X	210913_Cbl-b_A03-H1 Fc=2-1 - 60_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 61_X	210913_Cbl-b_A03-H1 Fc=2-1 - 61_Y
129.6	7982.43	129.6	7969.56	129.6	7962.56	129.6	7955.71	129.6	7954.84	129.6	7953.35	129.6	7949.24	129.6	7949.88	129.6	7982.33	129.6	7957.94	129.6	7948.1	129.6	7946.69	129.6	7947.5	129.6	7943.44	129.6	7944.77	129.6	7941.06	129.6	7941.51	129.6	7971.2	129.6	7951.02	129.6	7948.77	129.6	7947.36	129.6	7945.36	129.6	7946.3	129.6	7945.15	129.6	7946.05	129.6	7946.84	129.6	7973.95	129.6	7953.75	129.6	7954.24	129.6	7957.06	129.6	7957.91	129.6	7957.14	129.6	7960.6	129.6	7959.74	129.6	7962.15	129.6	7978.47	129.6	7962.5	129.6	7968.85	129.6	7969.1	129.6	7968.56	129.6	7970.17	129.6	7968.54	129.6	7972.96	129.6	7974.44	129.6	7991.82	129.6	7976.66	129.6	7975.78	129.6	7975.24	129.6	7975.55	129.6	7978.31	129.6	7977.84	129.6	7983.87	129.6	7980.97	129.6	7992.72	129.6	7981.01	129.6	7986.52	129.6	7986.74	129.6	7986.8	129.6	7991.84	129.6	7984.68	129.6	7986.17
130.6	7981.23	130.6	7970.46	130.6	7962.25	130.6	7957.35	130.6	7956.05	130.6	7955.36	130.6	7948.78	130.6	7949.2	130.6	7980.27	130.6	7961.05	130.6	7950.43	130.6	7947.81	130.6	7945.75	130.6	7943.41	130.6	7943.69	130.6	7941.07	130.6	7942.86	130.6	7970.03	130.6	7951.93	130.6	7948.36	130.6	7948.13	130.6	7946.38	130.6	7946.55	130.6	7947.6	130.6	7946	130.6	7947.97	130.6	7973.32	130.6	7955.04	130.6	7957.52	130.6	7955.52	130.6	7955.86	130.6	7958.45	130.6	7959.56	130.6	7959.45	130.6	7961.61	130.6	7980.47	130.6	7965.91	130.6	7968.69	130.6	7967.73	130.6	7967.52	130.6	7970.84	130.6	7970.18	130.6	7974.11	130.6	7975.31	130.6	7988.46	130.6	7974.86	130.6	7975.9	130.6	7977.43	130.6	7977.89	130.6	7977.68	130.6	7975.2	130.6	7981.63	130.6	7979.19	130.6	7994.11	130.6	7984.38	130.6	7987.9	130.6	7987.47	130.6	7985.88	130.6	7990.23	130.6	7986.92	130.6	7984.18
131.6	7982.46	131.6	7969.82	131.6	7965.03	131.6	7955.57	131.6	7954.52	131.6	7956.28	131.6	7946.18	131.6	7949.74	131.6	7981.14	131.6	7959.61	131.6	7948.44	131.6	7947.53	131.6	7945.41	131.6	7942.77	131.6	7942.33	131.6	7942.28	131.6	7942.71	131.6	7969.2	131.6	7949.83	131.6	7947.07	131.6	7945.49	131.6	7946.28	131.6	7947.33	131.6	7946.12	131.6	7946.44	131.6	7947.08	131.6	7970.59	131.6	7954.31	131.6	7955.51	131.6	7953.93	131.6	7955.13	131.6	7957.04	131.6	7959.46	131.6	7959.89	131.6	7964.42	131.6	7978.34	131.6	7964.16	131.6	7967.96	131.6	7967.19	131.6	7968.33	131.6	7971.84	131.6	7969.63	131.6	7972.55	131.6	7974.59	131.6	7987.12	131.6	7975.85	131.6	7975.86	131.6	7978.03	131.6	7977.22	131.6	7977.92	131.6	7977.02	131.6	7982.4	131.6	7978.4	131.6	7992.82	131.6	7983.57	131.6	7987.57	131.6	7988.84	131.6	7986.3	131.6	7989.86	131.6	7986.43	131.6	7985.46
132.6	7983.02	132.6	7971.13	132.6	7964.93	132.6	7957.88	132.6	7955.43	132.6	7952.09	132.6	7948.69	132.6	7948.76	132.6	7983.59	132.6	7959.05	132.6	7947.26	132.6	7946.08	132.6	7945.77	132.6	7944.73	132.6	7944.11	132.6	7941.94	132.6	7941.28	132.6	7970.47	132.6	7949.88	132.6	7950.09	132.6	7945.33	132.6	7947.06	132.6	7946.93	132.6	7944.64	132.6	7945.16	132.6	7946.63	132.6	7970.18	132.6	7954.29	132.6	7955.5	132.6	7952.69	132.6	7955.38	132.6	7958.58	132.6	7959.25	132.6	7958.9	132.6	7962.33	132.6	7978.59	132.6	7964.07	132.6	7968.25	132.6	7969.36	132.6	7970.22	132.6	7969.38	132.6	7971.02	132.6	7972.69	132.6	7974.68	132.6	7989.42	132.6	7975.79	132.6	7976.38	132.6	7979.68	132.6	7978.51	132.6	7977.08	132.6	7974.97	132.6	7982.19	132.6	7979.69	132.6	7992.72	132.6	7985.39	132.6	7986.59	132.6	7986.11	132.6	7986.18	132.6	7987.96	132.6	7985.67	132.6	7985.43
133.6	7981.69	133.6	7970.3	133.6	7964.49	133.6	7957.64	133.6	7954.85	133.6	7953.01	133.6	7948.06	133.6	7950.49	133.6	7981.37	133.6	7959.08	133.6	7947.01	133.6	7947.24	133.6	7946.68	133.6	7943.34	133.6	7941.77	133.6	7941.4	133.6	7942.28	133.6	7967.64	133.6	7950.43	133.6	7948.27	133.6	7946.15	133.6	7946.89	133.6	7946.14	133.6	7949.28	133.6	7946.36	133.6	7950.28	133.6	7971.18	133.6	7956.11	133.6	7952.51	133.6	7954.62	133.6	7956.14	133.6	7959.12	133.6	7960.29	133.6	7959.37	133.6	7961.61	133.6	7978.93	133.6	7965.77	133.6	7968.11	133.6	7966.98	133.6	7968.8	133.6	7970.77	133.6	7971.76	133.6	7971.48	133.6	7972.41	133.6	7987.51	133.6	7975.36	133.6	7976.99	133.6	7978.88	133.6	7977.89	133.6	7978.91	133.6	7977.46	133.6	7980.26	133.6	7981.4	133.6	7995.1	133.6	7984.36	133.6	7989.81	133.6	7984.24	133.6	7985.2	133.6	7988.24	133.6	7984.57	133.6	7985.81
134.6	7981.16	134.6	7967.72	134.6	7965.45	134.6	7956.79	134.6	7954.92	134.6	7953.39	134.6	7948.34	134.6	7949.22	134.6	7980.02	134.6	7958.38	134.6	7947.61	134.6	7946.8	134.6	7946.17	134.6	7942.69	134.6	7942.88	134.6	7940.08	134.6	7942.16	134.6	7969.09	134.6	7949.95	134.6	7947.16	134.6	7945.8	134.6	7945.41	134.6	7943.89	134.6	7947.96	134.6	7946.15	134.6	7949.67	134.6	7970.26	134.6	7955.48	134.6	7954.49	134.6	7955.08	134.6	7955.55	134.6	7957.56	134.6	7958.65	134.6	7959.09	134.6	7962.92	134.6	7979.48	134.6	7964.44	134.6	7967.41	134.6	7967.54	134.6	7969.15	134.6	7969.62	134.6	7968.99	134.6	7971.52	134.6	7973.73	134.6	7989.17	134.6	7974.46	134.6	7975.85	134.6	7978.83	134.6	7977.03	134.6	7977.89	134.6	7976.63	134.6	7980.34	134.6	7979.13	134.6	7993.54	134.6	7984.8	134.6	7987.55	134.6	7983.44	134.6	7986.62	134.6	7988.61	134.6	7984.97	134.6	7986.76
135.6	7980.55	135.6	7968.41	135.6	7964.67	135.6	7957.8	135.6	7955.66	135.6	7953.88	135.6	7950.66	135.6	7948.88	135.6	7979.73	135.6	7958.04	135.6	7949.06	135.6	7946.03	135.6	7946.38	135.6	7942.2	135.6	7945.77	135.6	7943.37	135.6	7942.36	135.6	7968.33	135.6	7949.67	135.6	7947.13	135.6	7947.03	135.6	7946.36	135.6	7947.87	135.6	7947.72	135.6	7945.54	135.6	7948.98	135.6	7971.06	135.6	7953.44	135.6	7953.58	135.6	7954.48	135.6	7954.93	135.6	7958.36	135.6	7958.42	135.6	7959.79	135.6	7961.75	135.6	7978.83	135.6	7964.76	135.6	7970.28	135.6	7968.38	135.6	7968.71	135.6	7970	135.6	7969.53	135.6	7970.63	135.6	7975.01	135.6	7987.05	135.6	7974.86	135.6	7974.25	135.6	7976.08	135.6	7979.91	135.6	7978.36	135.6	7976.02	135.6	7983.43	135.6	7980.98	135.6	7993.03	135.6	7983.72	135.6	7988.04	135.6	7986.41	135.6	7986.46	135.6	7988.52	135.6	7988.03	135.6	7983.51
136.6	7982.35	136.6	7969.05	136.6	7964.15	136.6	7958.51	136.6	7956.25	136.6	7956.35	136.6	7950.62	136.6	7948.99	136.6	7979.63	136.6	7959.16	136.6	7948.99	136.6	7943.89	136.6	7945.6	136.6	7943.53	136.6	7944.49	136.6	7943.47	136.6	7943.06	136.6	7968.52	136.6	7949.95	136.6	7947.08	136.6	7948.06	136.6	7944.92	136.6	7946.99	136.6	7948.42	136.6	7947.46	136.6	7947.47	136.6	7968.98	136.6	7952.25	136.6	7952.92	136.6	7951.63	136.6	7955.71	136.6	7956.22	136.6	7955.45	136.6	7959.6	136.6	7962.96	136.6	7978.04	136.6	7962.14	136.6	7966.59	136.6	7967.94	136.6	7968.69	136.6	7968.88	136.6	7970.96	136.6	7972.94	136.6	7972.42	136.6	7985.63	136.6	7975.68	136.6	7973.65	136.6	7977.12	136.6	7977.13	136.6	7979.42	136.6	7978.33	136.6	7983.38	136.6	7979.59	136.6	7992.23	136.6	7982.05	136.6	7986.74	136.6	7982.88	136.6	7985.85	136.6	7989.8	136.6	7988.43	136.6	7984.5
137.6	7982.52	137.6	7969.27	137.6	7964.53	137.6	7956.08	137.6	7956.62	137.6	7955.21	137.6	7948.51	137.6	7947.62	137.6	7978.51	137.6	7957.77	137.6	7948.65	137.6	7945.92	137.6	7946.81	137.6	7943.89	137.6	7944.48	137.6	7941.94	137.6	7942.53	137.6	7968.09	137.6	7949.18	137.6	7949.07	137.6	7948.1	137.6	7945.22	137.6	7948	137.6	7948.08	137.6	7947.04	137.6	7946.28	137.6	7970.83	137.6	7953.93	137.6	7953.75	137.6	7951.79	137.6	7954.85	137.6	7956.3	137.6	7958.28	137.6	7958.22	137.6	7961.11	137.6	7978.81	137.6	7966.17	137.6	7966.92	137.6	7968.67	137.6	7968.44	137.6	7970.45	137.6	7968.82	137.6	7973.02	137.6	7974.23	137.6	7986.05	137.6	7972.84	137.6	7974.27	137.6	7976.38	137.6	7978.57	137.6	7978.82	137.6	7978.24	137.6	7982.11	137.6	7979.6	137.6	7992.71	137.6	7982.67	137.6	7986.37	137.6	7983.58	137.6	7986.01	137.6	7990.36	137.6	7985.09	137.6	7985
138.6	7980.84	138.6	7970.54	138.6	7964.59	138.6	7956.41	138.6	7955.38	138.6	7953.32	138.6	7949.91	138.6	7948.78	138.6	7979.97	138.6	7958.96	138.6	7948.09	138.6	7948.15	138.6	7945.67	138.6	7942.99	138.6	7944.83	138.6	7942.25	138.6	7943.4	138.6	7966.12	138.6	7949.48	138.6	7947.88	138.6	7945.06	138.6	7945.06	138.6	7946.68	138.6	7946.15	138.6	7947.91	138.6	7949.76	138.6	7968.26	138.6	7953.29	138.6	7953.21	138.6	7953.4	138.6	7957.17	138.6	7956.39	138.6	7958.1	138.6	7957.86	138.6	7960.78	138.6	7977.39	138.6	7966.65	138.6	7967.2	138.6	7967.13	138.6	7968.12	138.6	7969.96	138.6	7967.73	138.6	7971.16	138.6	7974.59	138.6	7986.62	138.6	7974.6	138.6	7975.95	138.6	7976.08	138.6	7976.1	138.6	7976.35	138.6	7977.88	138.6	7981.34	138.6	7981.33	138.6	7992.18	138.6	7984.54	138.6	7987.1	138.6	7984.17	138.6	7985.3	138.6	7989.63	138.6	7984.78	138.6	7984.28
139.6	7982.27	139.6	7968.34	139.6	7964.79	139.6	7956.57	139.6	7955.53	139.6	7951.27	139.6	7949.82	139.6	7948.29	139.6	7980.31	139.6	7957.86	139.6	7949.22	139.6	7946.2	139.6	7944.94	139.6	7942.13	139.6	7945.37	139.6	7942.34	139.6	7943.25	139.6	7967.33	139.6	7950.11	139.6	7949.01	139.6	7945.62	139.6	7945.64	139.6	7946.3	139.6	7947.58	139.6	7949.69	139.6	7950.03	139.6	7967.07	139.6	7954.74	139.6	7954.01	139.6	7954.92	139.6	7956.57	139.6	7958.2	139.6	7957.52	139.6	7958.16	139.6	7961.9	139.6	7978.3	139.6	7965.87	139.6	7967.77	139.6	7968.14	139.6	7967	139.6	7970.24	139.6	7971.23	139.6	7972.89	139.6	7973.67	139.6	7988.5	139.6	7973.48	139.6	7975.15	139.6	7976.83	139.6	7976.52	139.6	7977.97	139.6	7976.03	139.6	7981.47	139.6	7979.58	139.6	7992.99	139.6	7982.74	139.6	7986.97	139.6	7985.9	139.6	7984.21	139.6	7989.53	139.6	7982.91	139.6	7983.61
140.6	7983.5	140.6	7968.42	140.6	7965.5	140.6	7955.68	140.6	7954.86	140.6	7954.13	140.6	7949.68	140.6	7949.38	140.6	7980.22	140.6	7957.55	140.6	7949.24	140.6	7948.51	140.6	7946.57	140.6	7942.34	140.6	7943.47	140.6	7943.72	140.6	7941.9	140.6	7967.56	140.6	7950.16	140.6	7947.38	140.6	7946.12	140.6	7944.65	140.6	7944.52	140.6	7948.54	140.6	7946.56	140.6	7949.6	140.6	7970.56	140.6	7954.46	140.6	7954.12	140.6	7954.4	140.6	7956.16	140.6	7956.7	140.6	7957.78	140.6	7956.84	140.6	7962.06	140.6	7978.5	140.6	7964.54	140.6	7967.72	140.6	7968.93	140.6	7969.97	140.6	7969.16	140.6	7969.45	140.6	7971.2	140.6	7974.34	140.6	7986.93	140.6	7974.88	140.6	7976.37	140.6	7973.9	140.6	7975.02	140.6	7977.55	140.6	7976.2	140.6	7982.77	140.6	7982.33	140.6	7994.45	140.6	7983.12	140.6	7986.23	140.6	7985.32	140.6	7985.39	140.6	7991.19	140.6	7986.31	140.6	7986.96
141.6	7985.04	141.6	7968.02	141.6	7963.83	141.6	7955.59	141.6	7954.34	141.6	7953.68	141.6	7950.38	141.6	7950.25	141.6	7977.82	141.6	7956.95	141.6	7949.56	141.6	7948.35	141.6	7945.31	141.6	7943.76	141.6	7943.19	141.6	7940.49	141.6	7942.57	141.6	7969.21	141.6	7951.37	141.6	7948.46	141.6	7945.4	141.6	7945.05	141.6	7945.66	141.6	7947.79	141.6	7945.49	141.6	7948.04	141.6	7967.98	141.6	7954.47	141.6	7952.87	141.6	7954.27	141.6	7953.59	141.6	7958.65	141.6	7957.91	141.6	7959.2	141.6	7962.19	141.6	7977.37	141.6	7965.92	141.6	7967.23	141.6	7968.18	141.6	7969.02	141.6	7969.66	141.6	7968.76	141.6	7971.4	141.6	7974.03	141.6	7986.4	141.6	7975.18	141.6	7976.32	141.6	7976.05	141.6	7974.88	141.6	7977.9	141.6	7977.59	141.6	7983.16	141.6	7979.92	141.6	7992.58	141.6	7984.96	141.6	7987.4	141.6	7986.3	141.6	7985.15	141.6	7990.51	141.6	7984.79	141.6	7984.13
142.6	7982.9	142.6	7970.14	142.6	7964.24	142.6	7955.59	142.6	7954.1	142.6	7953.21	142.6	7951.86	142.6	7948.62	142.6	7978.74	142.6	7957.97	142.6	7949.6	142.6	7945.61	142.6	7948.03	142.6	7942.95	142.6	7941.72	142.6	7941.26	142.6	7939.86	142.6	7967.03	142.6	7948.21	142.6	7950.15	142.6	7944.6	142.6	7946.12	142.6	7942.93	142.6	7947.53	142.6	7945.98	142.6	7949.76	142.6	7969.1	142.6	7954.43	142.6	7953.86	142.6	7953.82	142.6	7955.07	142.6	7958.14	142.6	7958.13	142.6	7959.66	142.6	7961.76	142.6	7978.56	142.6	7964.38	142.6	7967.66	142.6	7968.55	142.6	7968.85	142.6	7969.02	142.6	7971.28	142.6	7969.86	142.6	7972.08	142.6	7988.49	142.6	7974.03	142.6	7975.27	142.6	7972.91	142.6	7975.64	142.6	7976.58	142.6	7976.28	142.6	7982.2	142.6	7980.91	142.6	7992.44	142.6	7983.94	142.6	7985.63	142.6	7987.04	142.6	7987.41	142.6	7990.51	142.6	7984.44	142.6	7986.31
143.6	7980.16	143.6	7970.95	143.6	7964.44	143.6	7958.35	143.6	7954.09	143.6	7952.19	143.6	7953.02	143.6	7948.7	143.6	7978.73	143.6	7957.87	143.6	7950.13	143.6	7946.94	143.6	7945.14	143.6	7944.01	143.6	7943.58	143.6	7940.92	143.6	7941.09	143.6	7967.13	143.6	7951.04	143.6	7948.37	143.6	7946.77	143.6	7947.97	143.6	7948.63	143.6	7947.44	143.6	7946.21	143.6	7950.02	143.6	7968.8	143.6	7953.02	143.6	7955.04	143.6	7954.24	143.6	7955.11	143.6	7957.56	143.6	7958.43	143.6	7958.69	143.6	7961.5	143.6	7978.37	143.6	7963.71	143.6	7967.03	143.6	7967.74	143.6	7968.12	143.6	7969.74	143.6	7969	143.6	7969.85	143.6	7973.21	143.6	7987.23	143.6	7976.4	143.6	7977.45	143.6	7975.06	143.6	7974.75	143.6	7974.95	143.6	7977.97	143.6	7982.27	143.6	7977.71	143.6	7989.64	143.6	7982.73	143.6	7987.65	143.6	7986.5	143.6	7984.81	143.6	7989.28	143.6	7984.79	143.6	7983.52
144.6	7983.55	144.6	7970.78	144.6	7963.47	144.6	7956.99	144.6	7956.86	144.6	7952.36	144.6	7951.18	144.6	7948.21	144.6	7978.37	144.6	7957.75	144.6	7948.29	144.6	7948.7	144.6	7945.3	144.6	7942.36	144.6	7943.86	144.6	7940.62	144.6	7941.04	144.6	7966.28	144.6	7949.59	144.6	7948.56	144.6	7945.57	144.6	7945.03	144.6	7944.16	144.6	7945.51	144.6	7947.17	144.6	7949.14	144.6	7970	144.6	7952.38	144.6	7953.67	144.6	7955.26	144.6	7952.91	144.6	7955.5	144.6	7959.7	144.6	7958.75	144.6	7960.97	144.6	7978.3	144.6	7964.17	144.6	7967.38	144.6	7967.89	144.6	7967.91	144.6	7969.07	144.6	7970.5	144.6	7971.78	144.6	7975.29	144.6	7984.97	144.6	7976.4	144.6	7975.88	144.6	7975.28	144.6	7975.69	144.6	7977.66	144.6	7978.63	144.6	7981.1	144.6	7979.8	144.6	7991.03	144.6	7984.08	144.6	7986.44	144.6	7986.61	144.6	7986.09	144.6	7989.08	144.6	7985.46	144.6	7984.28
145.6	7981.86	145.6	7970.7	145.6	7964.95	145.6	7956.78	145.6	7957.87	145.6	7953.45	145.6	7951.06	145.6	7946.24	145.6	7978.01	145.6	7956.39	145.6	7948.83	145.6	7950.21	145.6	7946.71	145.6	7945.67	145.6	7943.3	145.6	7941.08	145.6	7940.09	145.6	7966.56	145.6	7949.48	145.6	7946.85	145.6	7946.37	145.6	7945.47	145.6	7944.98	145.6	7946.78	145.6	7946.12	145.6	7949.51	145.6	7969.69	145.6	7952.39	145.6	7954.49	145.6	7953.75	145.6	7954.25	145.6	7954.47	145.6	7956.4	145.6	7959.93	145.6	7960.88	145.6	7974.17	145.6	7965.75	145.6	7968.02	145.6	7966.46	145.6	7966.56	145.6	7969.16	145.6	7969.1	145.6	7973.04	145.6	7974.86	145.6	7987.18	145.6	7975.21	145.6	7976.07	145.6	7975.88	145.6	7977.07	145.6	7977.72	145.6	7978.24	145.6	7982.46	145.6	7980.04	145.6	7994.72	145.6	7984.46	145.6	7988.23	145.6	7985.59	145.6	7986.85	145.6	7989.45	145.6	7985.57	145.6	7984.36
146.6	7980.19	146.6	7971.12	146.6	7965.09	146.6	7955.8	146.6	7954.9	146.6	7954.89	146.6	7950.31	146.6	7948.66	146.6	7975.43	146.6	7956.63	146.6	7949.04	146.6	7945.11	146.6	7947.63	146.6	7944.96	146.6	7942.38	146.6	7940.83	146.6	7940.21	146.6	7964.95	146.6	7947.58	146.6	7946.11	146.6	7946.52	146.6	7944.74	146.6	7944.83	146.6	7946.65	146.6	7947.43	146.6	7949.32	146.6	7969.7	146.6	7953.59	146.6	7956.03	146.6	7955.26	146.6	7954.68	146.6	7955.03	146.6	7958.22	146.6	7960	146.6	7962.93	146.6	7975.68	146.6	7965.7	146.6	7966.88	146.6	7967.84	146.6	7967.95	146.6	7968.61	146.6	7969.49	146.6	7971.6	146.6	7973.32	146.6	7986.55	146.6	7976.62	146.6	7974.6	146.6	7973.82	146.6	7974.43	146.6	7976.22	146.6	7977.66	146.6	7980.67	146.6	7980.83	146.6	7989.79	146.6	7983.21	146.6	7986.99	146.6	7987.29	146.6	7985.03	146.6	7988.24	146.6	7983.19	146.6	7983.36
