462	202.172
463	201.977
464	201.782
465	201.588
466	201.394
467	201.2
468	201.006
469	200.812
470	200.619
471	200.425
472	200.232
473	200.04
474	199.847
475	199.655
476	199.462
477	199.27
478	199.078
479	198.887
480	198.695
481	198.504
482	198.313
483	198.122
484	197.932
485	197.741
486	197.551
487	197.361
488	197.171
489	196.981
490	196.792
491	196.602
492	196.413
493	196.224
494	196.036
495	195.847
496	195.659
497	195.471
498	195.283
499	195.095
500	194.907
501	194.72
502	194.533
503	194.346
504	194.159
505	193.973
506	193.786
507	193.6
508	193.414
509	193.228
510	193.042
511	192.857
512	192.672
513	192.487
514	192.302
515	192.117
516	191.933
517	191.748
518	191.564
519	191.38
520	191.197
521	191.013
522	190.83
523	190.646
524	190.463
525	190.281
526	190.098
527	189.916
528	189.733
529	189.551
530	189.369
531	189.188
532	189.006
533	188.825
534	188.644
535	188.463
536	188.282
537	188.102
538	187.921
539	187.741
540	187.561
541	187.381
542	187.202
543	187.022
544	186.843
545	186.664
546	186.485
547	186.306
548	186.128
549	185.949
550	185.771
551	185.593
552	185.415
553	185.238
554	185.06
555	184.883
556	184.706
557	184.529
558	184.352
559	184.176
560	184
561	183.823
562	183.647
563	183.472
564	183.296
565	183.121
566	182.945
567	182.77
568	182.595
569	182.421
570	182.246
571	182.072
572	181.898
573	181.724
574	181.55
575	181.376
576	181.203
577	181.029
578	180.856
579	180.683
580	180.511
581	180.338
582	180.166
583	179.993
584	179.821
585	179.65
586	179.478
587	179.306
588	179.135
589	178.964
590	178.793
591	178.622
592	178.451
593	178.281
594	178.111
595	177.941
596	177.771
597	177.601
598	177.431
599	177.262
600	177.093
601	176.924
602	176.755
603	176.586
604	176.418
605	176.249
606	176.081
607	175.913
608	175.745
609	175.577
610	175.41
	
