X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
-5.8214824E-1	7.4599326E-1	-4.9214824E-1	5.8649993E-1	-3.5214824E-1	1.6740120E-1	-4.2201855E-1	-2.4125354E-1	-1.6434333E-1	5.0489937E-2	-9.8010710E-1	2.9742263E-1
4.1785176E-1	-5.3545570E-1	5.0785176E-1	-6.0521402E-1	6.4785176E-1	-3.0797019E-1	5.7798145E-1	3.3041218E-1	8.3565667E-1	-2.5673238E-1	1.9892897E-2	-6.0366849E-3
1.4178518E0	-1.6114750E0	1.5078518E0	-5.2749933E-2	1.6478518E0	-2.7662916E0	1.5779815E0	2.2612500E-1	1.8356567E0	-8.7335671E-1	1.0198929E0	-1.4253509E0
2.4178518E0	-1.3442978E0	2.5078518E0	5.2723533E-1	2.6478518E0	-1.6503159E0	2.5779815E0	3.2004779E-1	2.8356567E0	-1.6119284E0	2.0198929E0	-2.0271342E0
3.4178518E0	1.7798580E-1	3.5078518E0	2.1709319E-1	3.6478518E0	-1.9915806E0	3.5779815E0	-1.0780868E0	3.8356567E0	-1.0108884E0	3.0198929E0	-1.3983958E0
4.4178518E0	2.4692005E-1	4.5078518E0	9.6273574E-1	4.6478518E0	-3.8087379E0	4.5779815E0	-7.1325603E-1	4.8356567E0	-1.1980472E0	4.0198929E0	-8.8085521E-1
5.4178518E0	3.0675971E0	5.5078518E0	1.4249624E0	5.6478518E0	-2.4226399E0	5.5779815E0	-4.3594905E-1	5.8356567E0	-1.7534396E0	5.0198929E0	-1.0077791E0
6.4178518E0	5.4027823E0	6.5078518E0	1.5120773E0	6.6478518E0	-3.0119851E0	6.5779815E0	-1.2905920E0	6.8356567E0	-1.7482639E0	6.0198929E0	-9.2225636E-1
7.4178518E0	5.3079902E0	7.5078518E0	2.0187967E0	7.6478518E0	-4.1180562E0	7.5779815E0	-1.8808386E0	7.8356567E0	-1.5572470E0	7.0198929E0	9.9729203E-1
8.4178518E0	4.8294936E0	8.5078518E0	2.2319506E0	8.6478518E0	-4.0781127E0	8.5779815E0	-2.3981923E0	8.8356567E0	-5.6392306E-1	8.0198929E0	6.3481222E-1
9.4178518E0	4.2621750E0	9.5078518E0	1.9579523E0	9.6478518E0	-4.0537512E0	9.5779815E0	-2.2745570E0	9.8356567E0	3.1668980E-1	9.0198929E0	5.4745115E-1
1.0417852E1	4.3621707E0	1.0507852E1	1.9778458E0	1.0647852E1	-4.9977656E0	1.0577981E1	1.4600206E0	1.0835657E1	1.6800927E0	1.0019893E1	1.3773168E0
1.1417852E1	2.6576597E0	1.1507852E1	1.9085352E0	1.1647852E1	-5.1205659E0	1.1577981E1	1.6889415E0	1.1835657E1	1.6471933E0	1.1019893E1	1.7122633E0
1.2417852E1	2.4578475E0	1.2507852E1	2.7892515E0	1.2647852E1	-5.3188738E0	1.2577981E1	-3.2715472E-1	1.2835657E1	1.6052155E0	1.2019893E1	1.0082943E0
1.3417852E1	2.6535775E0	1.3507852E1	4.2509752E0	1.3647852E1	-7.2123713E0	1.3577981E1	1.4127717E-1	1.3835657E1	1.1176236E0	1.3019893E1	-5.1895754E-1
1.4417852E1	3.2931436E0	1.4507852E1	4.6029588E0	1.4647852E1	-6.7326101E0	1.4577981E1	1.7566034E0	1.4835657E1	8.0155600E-2	1.4019893E1	1.8987995E-1
1.5417852E1	2.7788290E0	1.5507852E1	1.6742679E0	1.5647852E1	-5.4499532E0	1.5577981E1	2.2894689E0	1.5835657E1	-4.3739977E-2	1.5019893E1	5.5697081E0
1.6417852E1	4.0866620E0	1.6507852E1	5.4418457E-1	1.6647852E1	-3.6911274E0	1.6577981E1	2.0385814E0	1.6835657E1	2.6477345E0	1.6019893E1	3.8403526E0
1.7417852E1	4.1064804E0	1.7507852E1	8.8403161E-1	1.7647852E1	-3.6572170E0	1.7577981E1	1.5803055E0	1.7835657E1	2.7154330E0	1.7019893E1	3.1366129E0
1.8417852E1	3.1119170E0	1.8507852E1	-3.0729158E-1	1.8647852E1	-3.4307014E0	1.8577981E1	2.1424632E0	1.8835657E1	2.3903530E0	1.8019893E1	3.0503492E0
1.9417852E1	3.1801115E0	1.9507852E1	2.0250950E0	1.9647852E1	-5.4105373E0	1.9577981E1	3.0825770E0	1.9835657E1	1.9544293E0	1.9019893E1	8.4726291E-1
2.0417852E1	3.0511849E0	2.0507852E1	1.3286415E0	2.0647852E1	-5.3814587E0	2.0577981E1	3.3251819E0	2.0835657E1	1.8764440E0	2.0019893E1	-1.8145588E0
2.1417852E1	7.3937315E0	2.1507852E1	3.1604187E0	2.1647852E1	-4.5256256E0	2.1577981E1	2.7123597E0	2.1835657E1	5.1769921E0	2.1019893E1	1.6467870E-1
2.2417852E1	6.7335668E0	2.2507852E1	6.0349913E0	2.2647852E1	-3.6824368E0	2.2577981E1	1.9186809E0	2.2835657E1	4.2043004E0	2.2019893E1	1.0186997E0
2.3417852E1	4.3363785E0	2.3507852E1	5.4172146E0	2.3647852E1	-2.9459412E0	2.3577981E1	4.7918398E0	2.3835657E1	4.4375708E0	2.3019893E1	3.0123222E0
2.4417852E1	4.4128539E0	2.4507852E1	4.0245219E0	2.4647852E1	-6.4132141E0	2.4577981E1	5.0007444E0	2.4835657E1	6.1442069E0	2.4019893E1	3.2440230E0
2.5417852E1	6.8761350E0	2.5507852E1	4.2031772E0	2.5647852E1	-5.5418190E0	2.5577981E1	3.9061704E0	2.5835657E1	7.5007041E0	2.5019893E1	1.1949717E0
2.6417852E1	6.6920789E0	2.6507852E1	4.3406638E0	2.6647852E1	-6.2079864E0	2.6577981E1	3.8382269E0	2.6835657E1	4.9639359E0	2.6019893E1	2.6300079E-1
2.7417852E1	7.8519022E0	2.7507852E1	5.7338561E0	2.7647852E1	-5.6082921E0	2.7577981E1	3.6127615E0	2.7835657E1	5.9239494E0	2.7019893E1	-9.0128502E-1
2.8417852E1	6.4846332E0	2.8507852E1	4.8802168E0	2.8647852E1	-5.4556624E0	2.8577981E1	4.1089872E0	2.8835657E1	4.7192889E0	2.8019893E1	-2.7799235E0
2.9417852E1	7.0091313E0	2.9507852E1	-7.2253855E-2	2.9647852E1	-3.4901161E-1	2.9577981E1	6.9158359E0	2.9835657E1	3.5981238E0	2.9019893E1	-3.3418933E0
3.0417852E1	1.0478331E1	3.0507852E1	1.2667473E0	3.0647852E1	1.7520882E0	3.0577981E1	8.2738915E0	3.0835657E1	1.9530325E0	3.0019893E1	-1.1185242E0
3.1417852E1	1.2087239E1	3.1507852E1	7.4907081E0	3.1647852E1	-2.9644805E0	3.1577981E1	8.3786133E0	3.1835657E1	2.3091434E0	3.1019893E1	3.7706747E-1
3.2417852E1	1.2657696E1	3.2507852E1	1.3403126E1	3.2647852E1	-2.3288969E0	3.2577981E1	6.9939626E0	3.2835657E1	4.5429689E0	3.2019893E1	8.1578304E-1
3.3417852E1	1.0110258E1	3.3507852E1	1.0389864E1	3.3647852E1	1.4852729E0	3.3577981E1	7.5058524E0	3.3835657E1	2.0484361E0	3.3019893E1	3.3152767E0
3.4417852E1	2.0892671E1	3.4507852E1	1.5179375E1	3.4647852E1	5.5934353E0	3.4577981E1	6.6907348E0	3.4835657E1	7.9543502E0	3.4019893E1	2.8341441E0
3.5417852E1	2.3533032E1	3.5507852E1	1.4407801E1	3.5647852E1	9.2365609E0	3.5577981E1	1.1612445E1	3.5835657E1	3.5421002E0	3.5019893E1	1.9576112E0
3.6417852E1	2.5783763E1	3.6507852E1	2.3545905E1	3.6647852E1	8.3805720E0	3.6577981E1	1.2410929E1	3.6835657E1	4.2621820E-1	3.6019893E1	1.7539461E0
