X	Y	X	Y	X	Y	X	Y	X	Y
-6.1000000E0	-8.4008970E-2	-5.7100000E0	-1.3068180E-1	-6.3500000E0	1.1899097E0	7.4962301E1	1.0955945E1	-6.5052577E0	4.7523103E0
-5.1000000E0	-1.2382417E-1	-4.7100000E0	-4.3108660E-1	-5.3500000E0	1.2198279E0	7.5962301E1	1.0781517E1	-5.5052577E0	4.8905859E0
-4.1000000E0	-5.5990170E-2	-3.7100000E0	-5.3345770E-1	-4.3500000E0	1.0067598E0	7.6962301E1	1.0781517E1	-4.5052577E0	4.8481901E0
-3.1000000E0	3.4842853E-1	-2.7100000E0	-4.9281797E-2	-3.3500000E0	1.0067598E0	7.7962301E1	1.0575503E1	-3.5052577E0	4.8481901E0
-2.1000000E0	-5.0092270E-2	-1.7100000E0	-3.7549197E-2	-2.3500000E0	9.5588475E-1	7.8962301E1	9.9965880E0	-2.5052577E0	6.4654017E0
-1.1000000E0	2.4510130E-2	-7.1000000E-1	8.5550030E-3	-1.3500000E0	3.2842645E-1	7.9962301E1	1.0136994E1	-1.5052577E0	6.0641026E0
-1.0000000E-1	1.7741030E-2	2.9000000E-1	-3.4942970E-3	-3.5000000E-1	-4.9005250E-2	8.0962301E1	1.0106753E1	-5.0525768E-1	5.9983564E0
9.0000000E-1	-1.5966927E-1	1.2900000E0	-5.8464330E-1	6.5000000E-1	9.1009750E-2	8.1962301E1	9.6283499E0	4.9474232E-1	5.9326103E0
1.9000000E0	-2.7479017E-1	2.2900000E0	2.4389240E-1	1.6500000E0	9.1009750E-2	8.2962301E1	9.5360966E0	1.4947423E0	5.4536026E0
2.9000000E0	4.8288393E-1	3.2900000E0	1.0496182E0	2.6500000E0	9.1009750E-2	8.3962301E1	9.6368291E0	2.4947423E0	5.4284718E0
3.9000000E0	3.9566963E-1	4.2900000E0	7.5311730E-1	3.6500000E0	-2.1424025E-1	8.4962301E1	9.8051079E0	3.4947423E0	5.2610603E0
4.9000000E0	3.1516413E-1	5.2900000E0	7.9736770E-1	4.6500000E0	-1.5874025E-1	8.5962301E1	9.7640166E0	4.4947423E0	4.7749449E0
5.9000000E0	5.2649103E-1	6.2900000E0	8.0541820E-1	5.6500000E0	-1.5874025E-1	8.6962301E1	9.6412161E0	5.4947423E0	5.2551901E0
6.9000000E0	1.8054103E-1	7.2900000E0	2.2095682E0	6.6500000E0	-1.9628435E-1	8.7962301E1	9.6259273E0	6.4947423E0	5.3499703E0
7.9000000E0	-1.3890180E0	8.2900000E0	2.7578759E0	7.6500000E0	-4.4317775E-1	8.8962301E1	9.6323401E0	7.4947423E0	5.3315026E0
8.9000000E0	-8.7123267E-1	9.2900000E0	2.6369182E0	8.6500000E0	-1.3792785E-1	8.9962301E1	9.6521431E0	8.4947423E0	5.3315026E0
9.9000000E0	-8.9206577E-1	1.0290000E1	1.9919797E0	9.6500000E0	-1.5506235E-1	9.0962301E1	9.6309589E0	9.4947423E0	4.7679641E0
1.0900000E1	-9.5279747E-1	1.1290000E1	1.9806307E0	1.0650000E1	2.8615950E-2	9.1962301E1	1.0120142E1	1.0494742E1	4.8736276E0
1.1900000E1	-9.7432147E-1	1.2290000E1	1.9905451E0	1.1650000E1	-4.4185150E-2	9.2962301E1	1.0874135E1	1.1494742E1	4.6446901E0
1.2900000E1	-9.6676717E-1	1.3290000E1	2.2095682E0	1.2650000E1	-1.2265245E-1	9.3962301E1	1.0623860E1	1.2494742E1	4.1105026E0
1.3900000E1	-5.0025897E-1	1.4290000E1	2.2493834E0	1.3650000E1	-8.3418850E-2	9.4962301E1	1.0552579E1	1.3494742E1	4.0341901E0
1.4900000E1	-4.8446847E-1	1.5290000E1	2.1659453E0	1.4650000E1	3.3520975E-1	9.5962301E1	1.0476267E1	1.4494742E1	3.9884026E0
