211202_kinetic_519, 00 Fc=3 - 1_X	211202_kinetic_519, 00 Fc=3 - 1_Y	211202_kinetic_519, 00 Fc=3 - 2_X	211202_kinetic_519, 00 Fc=3 - 2_Y	211202_kinetic_519, 00 Fc=3 - 3_X	211202_kinetic_519, 00 Fc=3 - 3_Y	211202_kinetic_519, 00 Fc=3 - 4_X	211202_kinetic_519, 00 Fc=3 - 4_Y	211202_kinetic_519, 00 Fc=3 - 5_X	211202_kinetic_519, 00 Fc=3 - 5_Y	211202_kinetic_519, 00 Fc=3 - 6_X	211202_kinetic_519, 00 Fc=3 - 6_Y	211202_kinetic_519, 00 Fc=4 - 1_X	211202_kinetic_519, 00 Fc=4 - 1_Y	211202_kinetic_519, 00 Fc=4 - 2_X	211202_kinetic_519, 00 Fc=4 - 2_Y	211202_kinetic_519, 00 Fc=4 - 3_X	211202_kinetic_519, 00 Fc=4 - 3_Y	211202_kinetic_519, 00 Fc=4 - 4_X	211202_kinetic_519, 00 Fc=4 - 4_Y	211202_kinetic_519, 00 Fc=4 - 5_X	211202_kinetic_519, 00 Fc=4 - 5_Y	211202_kinetic_519, 00 Fc=4 - 6_X	211202_kinetic_519, 00 Fc=4 - 6_Y
23.7	4.07422	23.7	1.90625	23.7	0.90625	23.7	1.07031	23.7	0.933594	23.7	0.648438	23.8	-0.296875	23.8	-0.324219	23.8	-2.70703	23.8	0.757813	23.8	-1.82031	23.8	-1.13672
24.7	3.84766	24.7	2.08984	24.7	1.14844	24.7	1.08203	24.7	0.964844	24.7	0.667969	24.8	-0.351563	24.8	1.64063	24.8	-1.49609	24.8	-0.0507813	24.8	-1.40625	24.8	0.0507813
25.7	3.73828	25.7	1.91406	25.7	1.48438	25.7	0.515625	25.7	0.949219	25.7	0.589844	25.8	-1.98438	25.8	-0.332031	25.8	-0.539063	25.8	-0.695313	25.8	-1.61719	25.8	-0.839844
26.7	3.49219	26.7	2.07813	26.7	0.726563	26.7	1.29688	26.7	0.671875	26.7	1.19141	26.8	-2.15625	26.8	0.457031	26.8	-1.68359	26.8	-0.761719	26.8	-1.58594	26.8	-2.36328
27.7	3.46484	27.7	2.06641	27.7	1.37109	27.7	0.679688	27.7	0.503906	27.7	0.542969	27.8	-0.554688	27.8	-0.621094	27.8	-1.82031	27.8	0.179688	27.8	0.707031	27.8	-1.64063
28.7	3.46875	28.7	1.70313	28.7	1.26953	28.7	0.695313	28.7	0.710938	28.7	0.914063	28.8	-0.324219	28.8	-0.726563	28.8	-1.70313	28.8	-0.75	28.8	-1.95703	28.8	-2.08203
29.7	3.39453	29.7	2.28516	29.7	1.16797	29.7	0.199219	29.7	0.316406	29.7	0.921875	29.8	-0.753906	29.8	-0.945313	29.8	-1.61719	29.8	0.167969	29.8	-1.44141	29.8	-1.30859
30.7	3.02344	30.7	1.99219	30.7	0.632813	30.7	0.769531	30.7	0.0859375	30.7	0.597656	30.8	-0.5625	30.8	0.535156	30.8	-0.878906	30.8	1.39844	30.8	-0.574219	30.8	-0.214844
31.7	2.95313	31.7	2.11328	31.7	1.11328	31.7	0.449219	31.7	-0.136719	31.7	0.699219	31.8	-0.0546875	31.8	-0.644531	31.8	-3.46875	31.8	0.101563	31.8	-1.32422	31.8	-1.19531
32.7	2.51172	32.7	1.21484	32.7	0.671875	32.7	0.621094	32.7	0.195313	32.7	0.449219	32.8	-0.628906	32.8	-1.50781	32.8	-1.47266	32.8	-0.0859375	32.8	-0.734375	32.8	-1.10938
33.7	2.25	33.7	1.58203	33.7	0.96875	33.7	0.664063	33.7	0.59375	33.7	0.390625	33.8	-2.28516	33.8	-0.0898438	33.8	-2.5	33.8	-0.0546875	33.8	-2.63672	33.8	-1.78906
34.7	2.35938	34.7	1.06641	34.7	1.26172	34.7	0.488281	34.7	-0.359375	34.7	0.703125	34.8	-2.6875	34.8	-1.78906	34.8	-1.05469	34.8	-1.38672	34.8	-2.08984	34.8	-0.699219
35.7	2.23438	35.7	1.85938	35.7	0.957031	35.7	0.320313	35.7	0.382813	35.7	0.898438	35.8	-0.988281	35.8	-1.83203	35.8	-1.49609	35.8	0.257813	35.8	-2.80469	35.8	0.214844
36.7	2.19531	36.7	1.20703	36.7	1.33203	36.7	0.222656	36.7	0.542969	36.7	0.902344	36.8	-0.8125	36.8	-0.292969	36.8	-1.91016	36.8	-0.484375	36.8	-2.48828	36.8	-2.23047
37.7	2.08984	37.7	1.24219	37.7	0.636719	37.7	0.515625	37.7	0.300781	37.7	0.640625	37.8	0.0429688	37.8	-0.628906	37.8	-0.824219	37.8	-0.894531	37.8	-1.36719	37.8	-1.52344
38.7	2.14453	38.7	1.17969	38.7	0.851563	38.7	-0.316406	38.7	0.339844	38.7	0.015625	38.8	-0.609375	38.8	-0.769531	38.8	-1.80078	38.8	-2.39063	38.8	-1.44141	38.8	-1.16797
39.7	1.36328	39.7	1.51953	39.7	0.230469	39.7	0.222656	39.7	0.539063	39.7	0.976563	39.8	-2.35156	39.8	-1.17188	39.8	-0.886719	39.8	-0.363281	39.8	-2.00391	39.8	-0.613281
40.7	1.66797	40.7	1.25391	40.7	0.351563	40.7	1.13281	40.7	0.550781	40.7	0.8125	40.8	-1.21875	40.8	-0.4375	40.8	-0.550781	40.8	-0.597656	40.8	-2.52734	40.8	0.703125
41.7	1.25781	41.7	1.10547	41.7	0.191406	41.7	0.378906	41.7	0.3125	41.7	0.585938	41.8	-2.96875	41.8	-0.8125	41.8	-3.10156	41.8	0.167969	41.8	-1.91406	41.8	-1.99609
42.7	1.27344	42.7	0.933594	42.7	0.359375	42.7	0.117188	42.7	0.535156	42.7	0.324219	42.8	-0.582031	42.8	-0.375	42.8	0.164063	42.8	-0.773438	42.8	-0.375	42.8	-1.53125
43.7	1.21484	43.7	0.316406	43.7	0.199219	43.7	0.5625	43.7	0.367188	43.7	0.402344	43.8	-1.00391	43.8	-0.285156	43.8	0.398438	43.8	2.10156	43.8	0.375	43.8	0.0195313
44.7	1.33203	44.7	0.390625	44.7	0.355469	44.7	-0.0859375	44.7	0.199219	44.7	0.402344	44.8	0.394531	44.8	0.390625	44.8	0.429688	44.8	0.671875	44.8	-0.414063	44.8	0.453125
45.7	1.44141	45.7	0.597656	45.7	-0.0976563	45.7	0.199219	45.7	0.28125	45.7	0.136719	45.8	1.17969	45.8	-0.65625	45.8	-1.10547	45.8	1.08203	45.8	-0.917969	45.8	0.304688
46.7	1.30859	46.7	0.453125	46.7	0.339844	46.7	0.90625	46.7	0.453125	46.7	0.191406	46.8	0.617188	46.8	0.0507813	46.8	-0.679688	46.8	-0.03125	46.8	0.128906	46.8	0.425781
47.7	1.16797	47.7	0.296875	47.7	3.90625e-3	47.7	-0.183594	47.7	0.53125	47.7	-0.0546875	47.8	-0.433594	47.8	0.765625	47.8	0.535156	47.8	-0.179688	47.8	0.0351563	47.8	-0.867188
48.7	1.04688	48.7	0.101563	48.7	-0.0273438	48.7	0.332031	48.7	0.273438	48.7	0.589844	48.8	-0.078125	48.8	1.62109	48.8	-0.488281	48.8	0.382813	48.8	0.257813	48.8	0.464844
49.7	1.12109	49.7	0.421875	49.7	-0.0625	49.7	0.0898438	49.7	-0.421875	49.7	0.128906	49.8	0.390625	49.8	0.894531	49.8	0.65625	49.8	0.394531	49.8	-1.16797	49.8	1.77344
50.7	0.867188	50.7	-0.140625	50.7	0.125	50.7	-7.8125e-3	50.7	-0.140625	50.7	0.171875	50.8	-0.800781	50.8	1.17578	50.8	0.199219	50.8	-0.113281	50.8	-0.460938	50.8	0.96875
51.7	0.847656	51.7	0.0625	51.7	0.289063	51.7	0.09375	51.7	-0.238281	51.7	-0.265625	51.8	1.01953	51.8	-0.078125	51.8	0.210938	51.8	1.92578	51.8	-0.78125	51.8	-0.28125
52.7	0.460938	52.7	0.078125	52.7	0.199219	52.7	-0.0546875	52.7	3.90625e-3	52.7	0.640625	52.8	0.292969	52.8	0.320313	52.8	-0.386719	52.8	-0.953125	52.8	-0.988281	52.8	0.199219
53.7	0.335938	53.7	0.132813	53.7	-0.0507813	53.7	0.203125	53.7	-0.046875	53.7	0.308594	53.8	-0.113281	53.8	0.609375	53.8	0.03125	53.8	-1.08594	53.8	-1.16406	53.8	-0.191406
54.7	-0.03125	54.7	-0.257813	54.7	0.414063	54.7	0.160156	54.7	-0.40625	54.7	0.0390625	54.8	-0.117188	54.8	-1.29688	54.8	-0.285156	54.8	0.542969	54.8	0.417969	54.8	1.73828
55.7	-0.0546875	55.7	0.277344	55.7	0.0429688	55.7	0.0859375	55.7	0.0546875	55.7	0.0976563	55.8	0.808594	55.8	-0.300781	55.8	0.078125	55.8	0.757813	55.8	-0.277344	55.8	-0.847656
56.7	0.355469	56.7	0.332031	56.7	-0.28125	56.7	-0.1875	56.7	0.164063	56.7	0.132813	56.8	-0.203125	56.8	0.765625	56.8	1.46094	56.8	-0.507813	56.8	-0.015625	56.8	-0.046875
57.7	0.0664063	57.7	0.0234375	57.7	0.0625	57.7	0.136719	57.7	0.164063	57.7	0.0859375	57.8	0.464844	57.8	0.140625	57.8	0.980469	57.8	-0.773438	57.8	0.445313	57.8	-0.738281
58.7	0.0390625	58.7	-0.40625	58.7	0.0859375	58.7	-0.0820313	58.7	0.242188	58.7	-0.0820313	58.8	0.898438	58.8	0.972656	58.8	-0.28125	58.8	0.234375	58.8	-0.71875	58.8	-1.37109
59.7	-0.199219	59.7	0.496094	59.7	-0.121094	59.7	-0.136719	59.7	0.316406	59.7	-0.0429688	59.8	-1.03516	59.8	-0.417969	59.8	0.355469	59.8	-0.0117188	59.8	1.58594	59.8	0.273438
60.7	-0.0351563	60.7	-0.363281	60.7	0.332031	60.7	0.0820313	60.7	-0.289063	60.7	-0.3125	60.8	-1.09766	60.8	1.61719	60.8	-0.0625	60.8	-0.582031	60.8	0.144531	60.8	-0.152344
61.7	-0.148438	61.7	-0.0898438	61.7	-0.527344	61.7	-0.0703125	61.7	-0.261719	61.7	0.0859375	61.8	0.277344	61.8	-1.49219	61.8	-2.25391	61.8	0.34375	61.8	-1.57031	61.8	1.14063
62.7	0.425781	62.7	0.457031	62.7	0.464844	62.7	-0.480469	62.7	0.453125	62.7	-0.0117188	62.8	2.26563	62.8	-0.222656	62.8	0.847656	62.8	0.296875	62.8	-0.742188	62.8	0.242188
63.7	-1454.89	63.7	-1185.34	63.7	-1705.14	63.7	-545.184	63.7	-0.1875	63.7	106.348	63.8	-569.715	63.8	-533.906	63.8	-774.172	63.8	-112	63.8	-1.22656	63.8	6.73828
64.7	-2537.99	64.7	-2407.34	64.7	-2217.47	64.7	-1730.64	64.7	-725.844	64.7	416.57	64.8	-2000.06	64.8	-1901.52	64.8	-1841.94	64.8	-1241.94	64.8	-292.539	64.8	305.52
