211102_screening_A03 Fc=4-3 - 1_X	211102_screening_A03 Fc=4-3 - 1_Y	211102_screening_A03 Fc=4-3 - 2_X	211102_screening_A03 Fc=4-3 - 2_Y	211102_screening_A03 Fc=4-3 - 3_X	211102_screening_A03 Fc=4-3 - 3_Y	211102_screening_A03 Fc=4-3 - 4_X	211102_screening_A03 Fc=4-3 - 4_Y	211102_screening_A03 Fc=4-3 - 5_X	211102_screening_A03 Fc=4-3 - 5_Y	211102_screening_A03 Fc=4-3 - 6_X	211102_screening_A03 Fc=4-3 - 6_Y	211102_screening_A03 Fc=4-3 - 7_X	211102_screening_A03 Fc=4-3 - 7_Y	211102_screening_A03 Fc=4-3 - 8_X	211102_screening_A03 Fc=4-3 - 8_Y	211102_screening_A03 Fc=4-3 - 9_X	211102_screening_A03 Fc=4-3 - 9_Y	211102_screening_A0 Fc=4-3 - 10_X	211102_screening_A0 Fc=4-3 - 10_Y	211102_screening_A0 Fc=4-3 - 11_X	211102_screening_A0 Fc=4-3 - 11_Y	211102_screening_A0 Fc=4-3 - 12_X	211102_screening_A0 Fc=4-3 - 12_Y	211102_screening_A0 Fc=4-3 - 13_X	211102_screening_A0 Fc=4-3 - 13_Y	211102_screening_A0 Fc=4-3 - 14_X	211102_screening_A0 Fc=4-3 - 14_Y	211102_screening_A0 Fc=4-3 - 15_X	211102_screening_A0 Fc=4-3 - 15_Y	211102_screening_A0 Fc=4-3 - 16_X	211102_screening_A0 Fc=4-3 - 16_Y	211102_screening_A0 Fc=4-3 - 17_X	211102_screening_A0 Fc=4-3 - 17_Y	211102_screening_A0 Fc=4-3 - 18_X	211102_screening_A0 Fc=4-3 - 18_Y	211102_screening_A0 Fc=4-3 - 19_X	211102_screening_A0 Fc=4-3 - 19_Y	211102_screening_A0 Fc=4-3 - 20_X	211102_screening_A0 Fc=4-3 - 20_Y	211102_screening_A0 Fc=4-3 - 21_X	211102_screening_A0 Fc=4-3 - 21_Y	211102_screening_A0 Fc=4-3 - 22_X	211102_screening_A0 Fc=4-3 - 22_Y	211102_screening_A0 Fc=4-3 - 23_X	211102_screening_A0 Fc=4-3 - 23_Y	211102_screening_A0 Fc=4-3 - 24_X	211102_screening_A0 Fc=4-3 - 24_Y	211102_screening_A0 Fc=4-3 - 25_X	211102_screening_A0 Fc=4-3 - 25_Y	211102_screening_A0 Fc=4-3 - 26_X	211102_screening_A0 Fc=4-3 - 26_Y	211102_screening_A0 Fc=4-3 - 27_X	211102_screening_A0 Fc=4-3 - 27_Y	211102_screening_A0 Fc=4-3 - 28_X	211102_screening_A0 Fc=4-3 - 28_Y	211102_screening_A0 Fc=4-3 - 29_X	211102_screening_A0 Fc=4-3 - 29_Y	211102_screening_A0 Fc=4-3 - 30_X	211102_screening_A0 Fc=4-3 - 30_Y	211102_screening_A0 Fc=4-3 - 31_X	211102_screening_A0 Fc=4-3 - 31_Y	211102_screening_A0 Fc=4-3 - 32_X	211102_screening_A0 Fc=4-3 - 32_Y	211102_screening_A0 Fc=4-3 - 33_X	211102_screening_A0 Fc=4-3 - 33_Y	211102_screening_A0 Fc=4-3 - 34_X	211102_screening_A0 Fc=4-3 - 34_Y	211102_screening_A0 Fc=4-3 - 35_X	211102_screening_A0 Fc=4-3 - 35_Y	211102_screening_A0 Fc=4-3 - 36_X	211102_screening_A0 Fc=4-3 - 36_Y	211102_screening_A0 Fc=4-3 - 37_X	211102_screening_A0 Fc=4-3 - 37_Y	211102_screening_A0 Fc=4-3 - 38_X	211102_screening_A0 Fc=4-3 - 38_Y	211102_screening_A0 Fc=4-3 - 39_X	211102_screening_A0 Fc=4-3 - 39_Y	211102_screening_A0 Fc=4-3 - 40_X	211102_screening_A0 Fc=4-3 - 40_Y	211102_screening_A0 Fc=4-3 - 41_X	211102_screening_A0 Fc=4-3 - 41_Y	211102_screening_A0 Fc=4-3 - 42_X	211102_screening_A0 Fc=4-3 - 42_Y	211102_screening_A0 Fc=4-3 - 43_X	211102_screening_A0 Fc=4-3 - 43_Y	211102_screening_A0 Fc=4-3 - 44_X	211102_screening_A0 Fc=4-3 - 44_Y	211102_screening_A0 Fc=4-3 - 45_X	211102_screening_A0 Fc=4-3 - 45_Y	211102_screening_A0 Fc=4-3 - 46_X	211102_screening_A0 Fc=4-3 - 46_Y	211102_screening_A0 Fc=4-3 - 47_X	211102_screening_A0 Fc=4-3 - 47_Y	211102_screening_A0 Fc=4-3 - 48_X	211102_screening_A0 Fc=4-3 - 48_Y	211102_screening_A0 Fc=4-3 - 49_X	211102_screening_A0 Fc=4-3 - 49_Y	211102_screening_A0 Fc=4-3 - 50_X	211102_screening_A0 Fc=4-3 - 50_Y
11.8	8725.22	11.8	8709.42	11.8	8706.05	11.8	8698.62	11.8	8693.1	11.8	8687.16	11.8	8688.21	11.8	8682.79	11.8	8678.38	11.8	8688.08	11.8	8682.91	11.8	8684.99	11.8	8681.26	11.8	8672.75	11.8	8669.57	11.8	8677.88	11.8	8675.31	11.8	8673.25	11.8	8675.48	11.8	8684.07	11.8	8679.27	11.8	8680.13	11.8	8678.32	11.8	8681.39	11.8	8684.83	11.8	8686.6	11.8	8688.21	11.8	8686.99	11.8	8687.3	11.8	8699.44	11.8	8696.24	11.8	8697.3	11.8	8702.94	11.8	8708.51	11.8	8704.05	11.8	8707.14	11.8	8713.24	11.8	8712	11.8	8710.51	11.8	8714.91	11.8	8714.77	11.8	8717.96	11.8	8718.3	11.8	8725.94	11.8	8723.67	11.8	8728.63	11.8	8731.76	11.8	8730.99	11.8	8733.88	11.8	8734.75
12.8	8717.81	12.8	8708.16	12.8	8705.72	12.8	8698.81	12.8	8694.18	12.8	8689.22	12.8	8689.57	12.8	8678.07	12.8	8677.05	12.8	8690.26	12.8	8684.33	12.8	8680	12.8	8680.16	12.8	8669.56	12.8	8668.39	12.8	8675.65	12.8	8673.19	12.8	8670.11	12.8	8673.44	12.8	8683.6	12.8	8678.36	12.8	8681.85	12.8	8676.34	12.8	8680.72	12.8	8682.79	12.8	8685.51	12.8	8685.55	12.8	8688.58	12.8	8692.97	12.8	8701.02	12.8	8695.52	12.8	8703.71	12.8	8702.79	12.8	8705.62	12.8	8706.3	12.8	8705.76	12.8	8709.85	12.8	8711.77	12.8	8712.24	12.8	8717.94	12.8	8716.29	12.8	8718.88	12.8	8716.46	12.8	8727.27	12.8	8721.99	12.8	8727.26	12.8	8730.72	12.8	8732.63	12.8	8733.18	12.8	8732.18
13.8	8722.24	13.8	8706.39	13.8	8702.23	13.8	8702.04	13.8	8691.75	13.8	8688.26	13.8	8688.64	13.8	8685.31	13.8	8679	13.8	8688.07	13.8	8684.89	13.8	8681.36	13.8	8683.03	13.8	8674.82	13.8	8673.45	13.8	8673.09	13.8	8672.66	13.8	8670.63	13.8	8670.38	13.8	8685.03	13.8	8679.34	13.8	8679.79	13.8	8680.01	13.8	8679.58	13.8	8683.56	13.8	8683.32	13.8	8684.23	13.8	8689.19	13.8	8691.88	13.8	8701.2	13.8	8698.8	13.8	8698.24	13.8	8701.78	13.8	8702.9	13.8	8704.83	13.8	8708.25	13.8	8708.83	13.8	8710.15	13.8	8711.33	13.8	8716.92	13.8	8718.91	13.8	8716.97	13.8	8717.52	13.8	8726.18	13.8	8721.47	13.8	8725	13.8	8732.01	13.8	8728.25	13.8	8729.36	13.8	8731.48
14.8	8720.89	14.8	8708.15	14.8	8704.14	14.8	8699.01	14.8	8693.3	14.8	8688.13	14.8	8686.28	14.8	8685.09	14.8	8676.49	14.8	8689.78	14.8	8684.03	14.8	8683.1	14.8	8681.54	14.8	8673.87	14.8	8669.55	14.8	8674.18	14.8	8674.82	14.8	8667.27	14.8	8670.75	14.8	8684.07	14.8	8679.96	14.8	8680.69	14.8	8678.32	14.8	8681.43	14.8	8682.8	14.8	8686.84	14.8	8687.15	14.8	8688.38	14.8	8692.33	14.8	8697.46	14.8	8695.61	14.8	8702.24	14.8	8701.55	14.8	8702.59	14.8	8705.05	14.8	8707.72	14.8	8711.02	14.8	8710.92	14.8	8711.27	14.8	8714.79	14.8	8716.49	14.8	8717.88	14.8	8718.91	14.8	8729.37	14.8	8723.57	14.8	8728.69	14.8	8730.46	14.8	8732.65	14.8	8735.02	14.8	8730.85
15.8	8722.48	15.8	8709.04	15.8	8701.63	15.8	8700.29	15.8	8695.3	15.8	8687.78	15.8	8685.84	15.8	8681.78	15.8	8676.76	15.8	8687.45	15.8	8685.53	15.8	8683.61	15.8	8680.68	15.8	8674.59	15.8	8669.02	15.8	8673.65	15.8	8671.97	15.8	8672.86	15.8	8671.39	15.8	8683.23	15.8	8678.03	15.8	8679.63	15.8	8680.52	15.8	8680.85	15.8	8684.13	15.8	8686.41	15.8	8690.05	15.8	8689.54	15.8	8691.49	15.8	8697.22	15.8	8692.84	15.8	8698.07	15.8	8701.21	15.8	8702.99	15.8	8703.56	15.8	8705.36	15.8	8711.12	15.8	8708.77	15.8	8710.46	15.8	8717.64	15.8	8717.26	15.8	8714.25	15.8	8721.87	15.8	8722.83	15.8	8724.89	15.8	8726.31	15.8	8728.6	15.8	8731.33	15.8	8733.84	15.8	8730.55
16.8	8725.53	16.8	8707.49	16.8	8703.72	16.8	8700	16.8	8694.75	16.8	8691.48	16.8	8686.08	16.8	8682.71	16.8	8680.9	16.8	8690.25	16.8	8684.45	16.8	8681.8	16.8	8677.68	16.8	8671.33	16.8	8669.99	16.8	8674.46	16.8	8671.65	16.8	8672.89	16.8	8671.46	16.8	8683.12	16.8	8678.19	16.8	8683.21	16.8	8680.38	16.8	8679	16.8	8686.49	16.8	8685.94	16.8	8689.68	16.8	8687.83	16.8	8692.63	16.8	8696.28	16.8	8696.4	16.8	8700.59	16.8	8703.81	16.8	8706.66	16.8	8699.27	16.8	8709.71	16.8	8711.72	16.8	8710.45	16.8	8709.96	16.8	8713.83	16.8	8717.81	16.8	8714.29	16.8	8719.79	16.8	8721.25	16.8	8719.74	16.8	8728.74	16.8	8733.12	16.8	8731.01	16.8	8733.64	16.8	8730.66
17.8	8721.59	17.8	8707.24	17.8	8705	17.8	8697.92	17.8	8695.32	17.8	8691.36	17.8	8686.86	17.8	8681.99	17.8	8676.03	17.8	8688.84	17.8	8683.08	17.8	8685.3	17.8	8679.13	17.8	8671.76	17.8	8670.7	17.8	8675.73	17.8	8667.98	17.8	8672.17	17.8	8673.76	17.8	8681.95	17.8	8676.85	17.8	8682.8	17.8	8680.33	17.8	8680.22	17.8	8685.45	17.8	8685.19	17.8	8686.51	17.8	8688.74	17.8	8694.51	17.8	8695.69	17.8	8696.59	17.8	8699.66	17.8	8700.87	17.8	8705.31	17.8	8701.09	17.8	8707.63	17.8	8715.11	17.8	8710.15	17.8	8715.28	17.8	8715.56	17.8	8714.83	17.8	8721.02	17.8	8719.06	17.8	8725.56	17.8	8721.44	17.8	8729.02	17.8	8731.56	17.8	8732.39	17.8	8731.92	17.8	8731.03
18.8	8721.41	18.8	8708.71	18.8	8706.39	18.8	8701.45	18.8	8695.57	18.8	8692	18.8	8685.73	18.8	8681.2	18.8	8677.29	18.8	8688.96	18.8	8684.5	18.8	8683.94	18.8	8680.07	18.8	8671.21	18.8	8669.62	18.8	8677.04	18.8	8671.9	18.8	8670.58	18.8	8673.41	18.8	8681	18.8	8677.58	18.8	8681.24	18.8	8684.65	18.8	8683.1	18.8	8684.65	18.8	8686.57	18.8	8686.87	18.8	8689.05	18.8	8691.78	18.8	8696.6	18.8	8698.37	18.8	8699.75	18.8	8702.08	18.8	8705.91	18.8	8703.21	18.8	8704.85	18.8	8709.86	18.8	8710.01	18.8	8711.24	18.8	8718.59	18.8	8715.56	18.8	8717.46	18.8	8719.34	18.8	8723.55	18.8	8721.04	18.8	8729.5	18.8	8728.03	18.8	8732.76	18.8	8733.74	18.8	8732.11
19.8	8717.35	19.8	8709.27	19.8	8706.97	19.8	8705.59	19.8	8693.86	19.8	8690.16	19.8	8687.18	19.8	8677.56	19.8	8675.95	19.8	8689.53	19.8	8683.56	19.8	8682.26	19.8	8677.94	19.8	8677.51	19.8	8672.15	19.8	8675.27	19.8	8673.83	19.8	8670.25	19.8	8674.64	19.8	8681.56	19.8	8683.09	19.8	8680.92	19.8	8679.2	19.8	8679.13	19.8	8682.96	19.8	8683.99	19.8	8686.35	19.8	8687.08	19.8	8688.86	19.8	8699.4	19.8	8696.46	19.8	8697.79	19.8	8698.99	19.8	8704.9	19.8	8705.37	19.8	8705.86	19.8	8710.49	19.8	8710.65	19.8	8713.42	19.8	8713.79	19.8	8715.64	19.8	8715.99	19.8	8716.63	19.8	8721.01	19.8	8721.07	19.8	8729.07	19.8	8727.94	19.8	8731.03	19.8	8734.29	19.8	8729.54
20.8	8724.74	20.8	8712.56	20.8	8706.19	20.8	8702.28	20.8	8695.41	20.8	8689.86	20.8	8686.1	20.8	8681.55	20.8	8676.02	20.8	8688.8	20.8	8682.84	20.8	8680.08	20.8	8680.56	20.8	8672.31	20.8	8675.56	20.8	8672.3	20.8	8675.09	20.8	8671.07	20.8	8670.17	20.8	8681.54	20.8	8680.79	20.8	8681.25	20.8	8679.83	20.8	8680.42	20.8	8683.22	20.8	8684.09	20.8	8689.02	20.8	8690.47	20.8	8691.09	20.8	8696.97	20.8	8697.96	20.8	8698.94	20.8	8702.73	20.8	8704	20.8	8704.3	20.8	8704.82	20.8	8707.76	20.8	8709.58	20.8	8713.35	20.8	8715.57	20.8	8715.17	20.8	8716.5	20.8	8720.85	20.8	8719.99	20.8	8718.93	20.8	8728.35	20.8	8730.2	20.8	8730.05	20.8	8731.06	20.8	8729.82
