211102_screening_A03 Fc=4-3 - 1_X	211102_screening_A03 Fc=4-3 - 1_Y	211102_screening_A03 Fc=4-3 - 2_X	211102_screening_A03 Fc=4-3 - 2_Y	211102_screening_A03 Fc=4-3 - 3_X	211102_screening_A03 Fc=4-3 - 3_Y	211102_screening_A03 Fc=4-3 - 4_X	211102_screening_A03 Fc=4-3 - 4_Y	211102_screening_A03 Fc=4-3 - 5_X	211102_screening_A03 Fc=4-3 - 5_Y	211102_screening_A03 Fc=4-3 - 6_X	211102_screening_A03 Fc=4-3 - 6_Y	211102_screening_A03 Fc=4-3 - 7_X	211102_screening_A03 Fc=4-3 - 7_Y	211102_screening_A03 Fc=4-3 - 8_X	211102_screening_A03 Fc=4-3 - 8_Y	211102_screening_A03 Fc=4-3 - 9_X	211102_screening_A03 Fc=4-3 - 9_Y	211102_screening_A0 Fc=4-3 - 10_X	211102_screening_A0 Fc=4-3 - 10_Y	211102_screening_A0 Fc=4-3 - 11_X	211102_screening_A0 Fc=4-3 - 11_Y	211102_screening_A0 Fc=4-3 - 12_X	211102_screening_A0 Fc=4-3 - 12_Y	211102_screening_A0 Fc=4-3 - 13_X	211102_screening_A0 Fc=4-3 - 13_Y	211102_screening_A0 Fc=4-3 - 14_X	211102_screening_A0 Fc=4-3 - 14_Y	211102_screening_A0 Fc=4-3 - 15_X	211102_screening_A0 Fc=4-3 - 15_Y	211102_screening_A0 Fc=4-3 - 16_X	211102_screening_A0 Fc=4-3 - 16_Y	211102_screening_A0 Fc=4-3 - 17_X	211102_screening_A0 Fc=4-3 - 17_Y	211102_screening_A0 Fc=4-3 - 18_X	211102_screening_A0 Fc=4-3 - 18_Y	211102_screening_A0 Fc=4-3 - 19_X	211102_screening_A0 Fc=4-3 - 19_Y	211102_screening_A0 Fc=4-3 - 20_X	211102_screening_A0 Fc=4-3 - 20_Y	211102_screening_A0 Fc=4-3 - 21_X	211102_screening_A0 Fc=4-3 - 21_Y	211102_screening_A0 Fc=4-3 - 22_X	211102_screening_A0 Fc=4-3 - 22_Y	211102_screening_A0 Fc=4-3 - 23_X	211102_screening_A0 Fc=4-3 - 23_Y	211102_screening_A0 Fc=4-3 - 24_X	211102_screening_A0 Fc=4-3 - 24_Y	211102_screening_A0 Fc=4-3 - 25_X	211102_screening_A0 Fc=4-3 - 25_Y	211102_screening_A0 Fc=4-3 - 26_X	211102_screening_A0 Fc=4-3 - 26_Y	211102_screening_A0 Fc=4-3 - 27_X	211102_screening_A0 Fc=4-3 - 27_Y	211102_screening_A0 Fc=4-3 - 28_X	211102_screening_A0 Fc=4-3 - 28_Y	211102_screening_A0 Fc=4-3 - 29_X	211102_screening_A0 Fc=4-3 - 29_Y	211102_screening_A0 Fc=4-3 - 30_X	211102_screening_A0 Fc=4-3 - 30_Y	211102_screening_A0 Fc=4-3 - 31_X	211102_screening_A0 Fc=4-3 - 31_Y	211102_screening_A0 Fc=4-3 - 32_X	211102_screening_A0 Fc=4-3 - 32_Y	211102_screening_A0 Fc=4-3 - 33_X	211102_screening_A0 Fc=4-3 - 33_Y	211102_screening_A0 Fc=4-3 - 34_X	211102_screening_A0 Fc=4-3 - 34_Y	211102_screening_A0 Fc=4-3 - 35_X	211102_screening_A0 Fc=4-3 - 35_Y	211102_screening_A0 Fc=4-3 - 36_X	211102_screening_A0 Fc=4-3 - 36_Y	211102_screening_A0 Fc=4-3 - 37_X	211102_screening_A0 Fc=4-3 - 37_Y	211102_screening_A0 Fc=4-3 - 38_X	211102_screening_A0 Fc=4-3 - 38_Y	211102_screening_A0 Fc=4-3 - 39_X	211102_screening_A0 Fc=4-3 - 39_Y	211102_screening_A0 Fc=4-3 - 40_X	211102_screening_A0 Fc=4-3 - 40_Y	211102_screening_A0 Fc=4-3 - 41_X	211102_screening_A0 Fc=4-3 - 41_Y	211102_screening_A0 Fc=4-3 - 42_X	211102_screening_A0 Fc=4-3 - 42_Y	211102_screening_A0 Fc=4-3 - 43_X	211102_screening_A0 Fc=4-3 - 43_Y	211102_screening_A0 Fc=4-3 - 44_X	211102_screening_A0 Fc=4-3 - 44_Y	211102_screening_A0 Fc=4-3 - 45_X	211102_screening_A0 Fc=4-3 - 45_Y	211102_screening_A0 Fc=4-3 - 46_X	211102_screening_A0 Fc=4-3 - 46_Y	211102_screening_A0 Fc=4-3 - 47_X	211102_screening_A0 Fc=4-3 - 47_Y	211102_screening_A0 Fc=4-3 - 48_X	211102_screening_A0 Fc=4-3 - 48_Y	211102_screening_A0 Fc=4-3 - 49_X	211102_screening_A0 Fc=4-3 - 49_Y	211102_screening_A0 Fc=4-3 - 50_X	211102_screening_A0 Fc=4-3 - 50_Y
1.8	8726.02	1.8	8712.45	1.8	8704.86	1.8	8695.68	1.8	8691.66	1.8	8688.86	1.8	8686.57	1.8	8680.24	1.8	8681.31	1.8	8689.9	1.8	8684.92	1.8	8681.22	1.8	8679.99	1.8	8672.49	1.8	8678.49	1.8	8671.21	1.8	8672.79	1.8	8674.7	1.8	8669.04	1.8	8680.41	1.8	8682.55	1.8	8682.38	1.8	8680.5	1.8	8677.56	1.8	8683.97	1.8	8687.22	1.8	8687.32	1.8	8693.91	1.8	8688.17	1.8	8697.56	1.8	8696.63	1.8	8699.1	1.8	8701.97	1.8	8706.77	1.8	8706.6	1.8	8705.89	1.8	8706.71	1.8	8711.48	1.8	8709.36	1.8	8718.31	1.8	8716.48	1.8	8718.48	1.8	8723.94	1.8	8722.83	1.8	8723.52	1.8	8730.1	1.8	8733.84	1.8	8731.34	1.8	8732.33	1.8	8731.38
2.8	8724.3	2.8	8709.2	2.8	8704.21	2.8	8697.87	2.8	8691.99	2.8	8687.92	2.8	8685.71	2.8	8684.64	2.8	8679.94	2.8	8691.57	2.8	8685.32	2.8	8678.76	2.8	8678.24	2.8	8672.87	2.8	8673.23	2.8	8673.45	2.8	8672.35	2.8	8671.18	2.8	8671.42	2.8	8684.48	2.8	8679.66	2.8	8675.81	2.8	8678.27	2.8	8677.51	2.8	8682.55	2.8	8686.25	2.8	8688.41	2.8	8691.73	2.8	8695.47	2.8	8697.36	2.8	8698.57	2.8	8699.16	2.8	8702.9	2.8	8706.7	2.8	8707.77	2.8	8705.12	2.8	8709.29	2.8	8710.33	2.8	8712.69	2.8	8716.21	2.8	8716.95	2.8	8717.59	2.8	8721.2	2.8	8723.23	2.8	8724.27	2.8	8727.2	2.8	8733.88	2.8	8731.51	2.8	8730.58	2.8	8731.11
3.8	8725.73	3.8	8710.07	3.8	8703.67	3.8	8695.81	3.8	8691.9	3.8	8688.79	3.8	8688.92	3.8	8681.5	3.8	8681.54	3.8	8691.12	3.8	8684.65	3.8	8682.68	3.8	8679.68	3.8	8673.74	3.8	8671.03	3.8	8673.76	3.8	8667.97	3.8	8671.68	3.8	8672.12	3.8	8681.09	3.8	8678.63	3.8	8678.49	3.8	8680.64	3.8	8680.63	3.8	8681.69	3.8	8685.64	3.8	8683.2	3.8	8691.3	3.8	8691.13	3.8	8698.09	3.8	8697.12	3.8	8697.49	3.8	8700.33	3.8	8705.28	3.8	8708.73	3.8	8704.11	3.8	8711.2	3.8	8710.23	3.8	8710.09	3.8	8714.57	3.8	8715.99	3.8	8720.58	3.8	8720.76	3.8	8721.75	3.8	8722.29	3.8	8728.82	3.8	8731.59	3.8	8732.28	3.8	8731.1	3.8	8729.35
4.8	8725.43	4.8	8710.17	4.8	8702.64	4.8	8695.31	4.8	8692.86	4.8	8686.04	4.8	8688.81	4.8	8680.67	4.8	8677.42	4.8	8690.58	4.8	8685.71	4.8	8680.48	4.8	8679.77	4.8	8673.65	4.8	8676.21	4.8	8672.19	4.8	8672.63	4.8	8674.38	4.8	8668.1	4.8	8680.23	4.8	8679.34	4.8	8678.13	4.8	8683.1	4.8	8681.77	4.8	8681.99	4.8	8684.95	4.8	8685.58	4.8	8693.19	4.8	8689.87	4.8	8702.04	4.8	8693.54	4.8	8698.29	4.8	8701.16	4.8	8702.83	4.8	8707.06	4.8	8704.83	4.8	8710.89	4.8	8712.09	4.8	8711.08	4.8	8721.47	4.8	8713.69	4.8	8717.26	4.8	8719.46	4.8	8718.83	4.8	8723.59	4.8	8728.8	4.8	8731.11	4.8	8732.85	4.8	8733.63	4.8	8734.5
5.8	8721	5.8	8710.07	5.8	8703.68	5.8	8699.41	5.8	8693.2	5.8	8689.2	5.8	8688.76	5.8	8678.94	5.8	8678.2	5.8	8688.56	5.8	8683.9	5.8	8683.27	5.8	8675.12	5.8	8673.52	5.8	8671.3	5.8	8675.31	5.8	8671.58	5.8	8674.15	5.8	8671.55	5.8	8681.34	5.8	8678.43	5.8	8679.12	5.8	8680.8	5.8	8680.86	5.8	8684.72	5.8	8685.67	5.8	8687.06	5.8	8691.24	5.8	8693.52	5.8	8700.74	5.8	8697.37	5.8	8698.72	5.8	8698.8	5.8	8705.4	5.8	8705.92	5.8	8705.03	5.8	8710.32	5.8	8708.81	5.8	8712.49	5.8	8717.3	5.8	8716.93	5.8	8717.34	5.8	8719.61	5.8	8720.46	5.8	8723.88	5.8	8728.15	5.8	8730.21	5.8	8735.23	5.8	8732.36	5.8	8732.93
6.8	8725.12	6.8	8708.23	6.8	8704.04	6.8	8700.16	6.8	8691.73	6.8	8691.07	6.8	8687.13	6.8	8677.29	6.8	8678.32	6.8	8688.56	6.8	8684.48	6.8	8683.06	6.8	8676.92	6.8	8670.45	6.8	8672.78	6.8	8672.52	6.8	8670.44	6.8	8670.41	6.8	8672.49	6.8	8684.22	6.8	8676.74	6.8	8685.92	6.8	8677.86	6.8	8682.46	6.8	8681.01	6.8	8687.82	6.8	8685.7	6.8	8688.4	6.8	8690.5	6.8	8697.32	6.8	8695.7	6.8	8698.71	6.8	8698	6.8	8706.55	6.8	8706.06	6.8	8709.04	6.8	8712.09	6.8	8709.67	6.8	8707.37	6.8	8716.16	6.8	8716.44	6.8	8720.04	6.8	8719.38	6.8	8723.9	6.8	8725.04	6.8	8728.98	6.8	8732.23	6.8	8734.49	6.8	8733.27	6.8	8732.72
7.8	8723.07	7.8	8707.35	7.8	8701.71	7.8	8697.29	7.8	8694.32	7.8	8689.21	7.8	8684.44	7.8	8677.35	7.8	8674.8	7.8	8687.2	7.8	8681.64	7.8	8682.57	7.8	8677.25	7.8	8670.57	7.8	8673.77	7.8	8673.7	7.8	8668.88	7.8	8669.36	7.8	8672.24	7.8	8684.14	7.8	8677.37	7.8	8681.08	7.8	8679.97	7.8	8680.65	7.8	8683.21	7.8	8683.95	7.8	8683.58	7.8	8692.69	7.8	8692.53	7.8	8697.64	7.8	8692.82	7.8	8697.34	7.8	8701.34	7.8	8707.69	7.8	8706.46	7.8	8712.43	7.8	8710.4	7.8	8709.96	7.8	8709.72	7.8	8717.74	7.8	8715.71	7.8	8718.2	7.8	8719.15	7.8	8722.3	7.8	8719.69	7.8	8731.02	7.8	8733	7.8	8732.32	7.8	8731.01	7.8	8731.27
8.8	8724.2	8.8	8709.63	8.8	8705.96	8.8	8697.22	8.8	8697.23	8.8	8690.12	8.8	8688.36	8.8	8675.56	8.8	8676.6	8.8	8685.93	8.8	8680.62	8.8	8679.22	8.8	8681.8	8.8	8671.56	8.8	8674.25	8.8	8674.27	8.8	8671.96	8.8	8669.06	8.8	8672.59	8.8	8683.19	8.8	8678.74	8.8	8681.04	8.8	8680.98	8.8	8682.61	8.8	8681.31	8.8	8686.19	8.8	8684.34	8.8	8688.68	8.8	8691.66	8.8	8696.3	8.8	8697.03	8.8	8696.24	8.8	8701.17	8.8	8705.33	8.8	8704.46	8.8	8706.73	8.8	8711.74	8.8	8711.05	8.8	8715.11	8.8	8716.01	8.8	8713.97	8.8	8718.07	8.8	8717.59	8.8	8721.47	8.8	8721.77	8.8	8730.76	8.8	8729.87	8.8	8729.27	8.8	8734.51	8.8	8732.41
9.8	8722.63	9.8	8709.79	9.8	8702.01	9.8	8699.42	9.8	8694.88	9.8	8688.69	9.8	8687.3	9.8	8679.97	9.8	8679.63	9.8	8686.32	9.8	8680.57	9.8	8682.08	9.8	8681.79	9.8	8675.77	9.8	8674.36	9.8	8674.62	9.8	8674.9	9.8	8672.88	9.8	8673.17	9.8	8680.8	9.8	8677.46	9.8	8680.16	9.8	8680.7	9.8	8679.09	9.8	8683.23	9.8	8685.02	9.8	8685.27	9.8	8692.05	9.8	8694.39	9.8	8700.39	9.8	8699.46	9.8	8701.01	9.8	8701.03	9.8	8705.17	9.8	8706.14	9.8	8707.71	9.8	8712.26	9.8	8707.17	9.8	8708.74	9.8	8715.33	9.8	8716.33	9.8	8718.39	9.8	8720.28	9.8	8722.96	9.8	8721.05	9.8	8730.82	9.8	8732.79	9.8	8731.34	9.8	8736.51	9.8	8732.99
10.8	8723.24	10.8	8710.61	10.8	8704.67	10.8	8698.27	10.8	8691.1	10.8	8690.04	10.8	8688.16	10.8	8679.61	10.8	8679.59	10.8	8688.09	10.8	8685.58	10.8	8682.38	10.8	8679.61	10.8	8673.28	10.8	8673.74	10.8	8673.9	10.8	8672.66	10.8	8673.31	10.8	8672.93	10.8	8682.14	10.8	8678.27	10.8	8681.48	10.8	8678.7	10.8	8682.68	10.8	8685.94	10.8	8682.69	10.8	8687.78	10.8	8686.13	10.8	8690.72	10.8	8696.53	10.8	8699.32	10.8	8699.56	10.8	8700.75	10.8	8704.12	10.8	8704.05	10.8	8704.51	10.8	8709.95	10.8	8709.3	10.8	8709.57	10.8	8715.65	10.8	8713.55	10.8	8722.93	10.8	8720.36	10.8	8723.76	10.8	8724.22	10.8	8726.01	10.8	8733.63	10.8	8731.48	10.8	8730.85	10.8	8732.49
