211122_binding_JYK00 Fc=4-3 - 1_X	211122_binding_JYK00 Fc=4-3 - 1_Y	211122_binding_JYK00 Fc=4-3 - 2_X	211122_binding_JYK00 Fc=4-3 - 2_Y	211122_binding_JYK00 Fc=4-3 - 3_X	211122_binding_JYK00 Fc=4-3 - 3_Y	211122_binding_JYK00 Fc=4-3 - 4_X	211122_binding_JYK00 Fc=4-3 - 4_Y	211122_binding_JYK00 Fc=4-3 - 5_X	211122_binding_JYK00 Fc=4-3 - 5_Y	211122_binding_JYK00 Fc=4-3 - 6_X	211122_binding_JYK00 Fc=4-3 - 6_Y	211122_binding_JYK00 Fc=4-3 - 7_X	211122_binding_JYK00 Fc=4-3 - 7_Y	211122_binding_JYK00 Fc=4-3 - 8_X	211122_binding_JYK00 Fc=4-3 - 8_Y	211122_binding_JYK00 Fc=4-3 - 9_X	211122_binding_JYK00 Fc=4-3 - 9_Y	211122_binding_JYK0 Fc=4-3 - 10_X	211122_binding_JYK0 Fc=4-3 - 10_Y	211122_binding_JYK0 Fc=4-3 - 11_X	211122_binding_JYK0 Fc=4-3 - 11_Y	211122_binding_JYK0 Fc=4-3 - 12_X	211122_binding_JYK0 Fc=4-3 - 12_Y	211122_binding_JYK0 Fc=4-3 - 13_X	211122_binding_JYK0 Fc=4-3 - 13_Y	211122_binding_JYK0 Fc=4-3 - 14_X	211122_binding_JYK0 Fc=4-3 - 14_Y	211122_binding_JYK0 Fc=4-3 - 15_X	211122_binding_JYK0 Fc=4-3 - 15_Y	211122_binding_JYK0 Fc=4-3 - 16_X	211122_binding_JYK0 Fc=4-3 - 16_Y	211122_binding_JYK0 Fc=4-3 - 17_X	211122_binding_JYK0 Fc=4-3 - 17_Y	211122_binding_JYK0 Fc=4-3 - 18_X	211122_binding_JYK0 Fc=4-3 - 18_Y	211122_binding_JYK0 Fc=4-3 - 19_X	211122_binding_JYK0 Fc=4-3 - 19_Y	211122_binding_JYK0 Fc=4-3 - 20_X	211122_binding_JYK0 Fc=4-3 - 20_Y	211122_binding_JYK0 Fc=4-3 - 21_X	211122_binding_JYK0 Fc=4-3 - 21_Y	211122_binding_JYK0 Fc=4-3 - 22_X	211122_binding_JYK0 Fc=4-3 - 22_Y	211122_binding_JYK0 Fc=4-3 - 23_X	211122_binding_JYK0 Fc=4-3 - 23_Y	211122_binding_JYK0 Fc=4-3 - 24_X	211122_binding_JYK0 Fc=4-3 - 24_Y	211122_binding_JYK0 Fc=4-3 - 25_X	211122_binding_JYK0 Fc=4-3 - 25_Y	211122_binding_JYK0 Fc=4-3 - 26_X	211122_binding_JYK0 Fc=4-3 - 26_Y	211122_binding_JYK0 Fc=4-3 - 27_X	211122_binding_JYK0 Fc=4-3 - 27_Y	211122_binding_JYK0 Fc=4-3 - 28_X	211122_binding_JYK0 Fc=4-3 - 28_Y	211122_binding_JYK0 Fc=4-3 - 29_X	211122_binding_JYK0 Fc=4-3 - 29_Y	211122_binding_JYK0 Fc=4-3 - 30_X	211122_binding_JYK0 Fc=4-3 - 30_Y	211122_binding_JYK0 Fc=4-3 - 31_X	211122_binding_JYK0 Fc=4-3 - 31_Y	211122_binding_JYK0 Fc=4-3 - 32_X	211122_binding_JYK0 Fc=4-3 - 32_Y	211122_binding_JYK0 Fc=4-3 - 33_X	211122_binding_JYK0 Fc=4-3 - 33_Y	211122_binding_JYK0 Fc=4-3 - 34_X	211122_binding_JYK0 Fc=4-3 - 34_Y	211122_binding_JYK0 Fc=4-3 - 35_X	211122_binding_JYK0 Fc=4-3 - 35_Y
11.8	11371.5	11.8	11326.3	11.8	11278.3	11.8	11253.9	11.8	11241.2	11.8	11225.6	11.8	11208.9	11.8	11202	11.8	11199	11.8	11192	11.8	11183.5	11.8	11174.8	11.8	11170	11.8	11176.9	11.8	11168.7	11.8	11170.5	11.8	11163.3	11.8	11164.8	11.8	11162.5	11.8	11163.5	11.8	11159.4	11.8	11161.4	11.8	11161.2	11.8	11160.9	11.8	11168.4	11.8	11164.3	11.8	11164.3	11.8	11163.7	11.8	11160.5	11.8	11160.9	11.8	11162	11.8	11165	11.8	11167	11.8	11164.3	11.8	11171.9
12.8	11369.1	12.8	11327.2	12.8	11275.6	12.8	11252.9	12.8	11238.7	12.8	11224.6	12.8	11208.4	12.8	11201.5	12.8	11196.8	12.8	11190.9	12.8	11183.2	12.8	11171.6	12.8	11169.8	12.8	11177.7	12.8	11169.3	12.8	11166.3	12.8	11165	12.8	11162.6	12.8	11162.8	12.8	11160.6	12.8	11161.4	12.8	11159.8	12.8	11160.7	12.8	11160.1	12.8	11168.7	12.8	11164.7	12.8	11162.2	12.8	11164.6	12.8	11163.3	12.8	11161.7	12.8	11162.5	12.8	11166.2	12.8	11164.1	12.8	11162	12.8	11172.9
13.8	11369.9	13.8	11327	13.8	11277.4	13.8	11254.9	13.8	11240.3	13.8	11223.1	13.8	11210.1	13.8	11201.4	13.8	11196.5	13.8	11190.3	13.8	11180.4	13.8	11173.3	13.8	11169.8	13.8	11177.4	13.8	11168.6	13.8	11169	13.8	11164.2	13.8	11163.2	13.8	11160.8	13.8	11159.4	13.8	11160.1	13.8	11160	13.8	11161.4	13.8	11162.2	13.8	11169.4	13.8	11164.8	13.8	11163	13.8	11163.3	13.8	11161.5	13.8	11161.1	13.8	11161.7	13.8	11164.7	13.8	11164.7	13.8	11163.6	13.8	11172.1
14.8	11371.1	14.8	11326.6	14.8	11276.5	14.8	11257.3	14.8	11239.5	14.8	11222.6	14.8	11211.2	14.8	11202.1	14.8	11197	14.8	11190.8	14.8	11182.1	14.8	11172.7	14.8	11168.5	14.8	11178.4	14.8	11170.9	14.8	11168.7	14.8	11164.6	14.8	11163.4	14.8	11161.3	14.8	11159.3	14.8	11160.4	14.8	11162.1	14.8	11161.1	14.8	11161.9	14.8	11168.7	14.8	11166.8	14.8	11161.6	14.8	11164	14.8	11159.2	14.8	11161.8	14.8	11162.3	14.8	11163.7	14.8	11163.8	14.8	11163.1	14.8	11170.8
15.8	11369.4	15.8	11328.3	15.8	11276.4	15.8	11254.9	15.8	11239.3	15.8	11224.6	15.8	11209.3	15.8	11201.9	15.8	11195.7	15.8	11192.4	15.8	11183.4	15.8	11174.8	15.8	11168.7	15.8	11175.7	15.8	11167.2	15.8	11167.2	15.8	11164.8	15.8	11162.6	15.8	11161.3	15.8	11161.5	15.8	11159.1	15.8	11157.7	15.8	11160.8	15.8	11161.7	15.8	11170.7	15.8	11166.9	15.8	11162.7	15.8	11164	15.8	11158.2	15.8	11161.4	15.8	11163.8	15.8	11165.6	15.8	11165.9	15.8	11163.5	15.8	11171.3
16.8	11369.7	16.8	11326.5	16.8	11275.4	16.8	11251.2	16.8	11238.7	16.8	11222	16.8	11209.6	16.8	11203.8	16.8	11196.9	16.8	11189	16.8	11185.5	16.8	11174.2	16.8	11167.9	16.8	11176.1	16.8	11167.6	16.8	11168.4	16.8	11165.4	16.8	11163.7	16.8	11161.1	16.8	11160.1	16.8	11159.8	16.8	11159.9	16.8	11161.5	16.8	11162.6	16.8	11171.4	16.8	11164.8	16.8	11164.2	16.8	11162	16.8	11161.7	16.8	11163.5	16.8	11160.3	16.8	11165.2	16.8	11163.6	16.8	11164.8	16.8	11173.1
17.8	11369.8	17.8	11325.8	17.8	11275.1	17.8	11250.3	17.8	11238	17.8	11223.5	17.8	11209.5	17.8	11200.6	17.8	11196.2	17.8	11192.2	17.8	11184.2	17.8	11171.2	17.8	11169.5	17.8	11177.4	17.8	11167.2	17.8	11168	17.8	11165.5	17.8	11162	17.8	11163.2	17.8	11161.3	17.8	11159.5	17.8	11160.1	17.8	11160.8	17.8	11160.7	17.8	11170.4	17.8	11163.8	17.8	11164.6	17.8	11162	17.8	11161.8	17.8	11161.6	17.8	11161.1	17.8	11166	17.8	11163.1	17.8	11164.1	17.8	11172.5
18.8	11370.9	18.8	11326.6	18.8	11275.2	18.8	11253.6	18.8	11239.3	18.8	11223.6	18.8	11207.8	18.8	11202.3	18.8	11196.2	18.8	11193.2	18.8	11183.5	18.8	11173.5	18.8	11170.3	18.8	11175.8	18.8	11168.5	18.8	11168.5	18.8	11163.9	18.8	11164.2	18.8	11161.8	18.8	11159.6	18.8	11159.8	18.8	11159.3	18.8	11163.1	18.8	11160.3	18.8	11168.4	18.8	11165.7	18.8	11162.1	18.8	11160.8	18.8	11162.2	18.8	11160.9	18.8	11162	18.8	11165.2	18.8	11163.2	18.8	11164.6	18.8	11172.5
19.8	11371.8	19.8	11325.5	19.8	11277.2	19.8	11253.7	19.8	11238.1	19.8	11224.9	19.8	11210.7	19.8	11202.6	19.8	11195	19.8	11190.5	19.8	11181.7	19.8	11174.7	19.8	11168.2	19.8	11174.8	19.8	11168.2	19.8	11165.5	19.8	11164.4	19.8	11161.7	19.8	11162	19.8	11161.3	19.8	11162.4	19.8	11160.8	19.8	11162.1	19.8	11163.6	19.8	11168.3	19.8	11165.5	19.8	11161.8	19.8	11160.4	19.8	11160.8	19.8	11159.3	19.8	11164.6	19.8	11163.8	19.8	11162.6	19.8	11164.3	19.8	11171.4
20.8	11370.4	20.8	11325.4	20.8	11277.8	20.8	11252.2	20.8	11238.6	20.8	11226.2	20.8	11209.4	20.8	11204.3	20.8	11199.7	20.8	11189.8	20.8	11180	20.8	11174	20.8	11167.3	20.8	11174	20.8	11169	20.8	11167.8	20.8	11164.9	20.8	11161.4	20.8	11162.6	20.8	11160.4	20.8	11160.7	20.8	11159.5	20.8	11162.6	20.8	11159.2	20.8	11169.5	20.8	11167	20.8	11164.2	20.8	11159.5	20.8	11161.9	20.8	11159.9	20.8	11163.9	20.8	11163.1	20.8	11161.2	20.8	11163.4	20.8	11173.7
