xData	yData
1	1.87288341373848
2	1.60747605085685
3	1.34206868797523
4	1.2693089250936
5	0.847171662211981
6	0.970367499330356
7	0.729928636448732
8	0.769864373567107
9	0.193430110685483
10	0.0513898478038586
11	0.138287384922235
12	0.20757422204061
13	-0.0561388408410144
14	-0.319852003722639
15	-0.414845266604264
16	-0.384066829485888
17	-0.0799722923675117
18	0.224122244750864
19	0.115626181869239
20	-0.166091081012385
21	-0.55971804389401
22	-0.608108906775634
23	-0.607395469657259
24	-0.487233732538883
25	-0.441202695420507
26	-0.272347558302132
27	0.789001778816244
28	0.85828861593462
29	-0.242799346947005
30	-0.509480009828629
31	-0.0577257727102536
32	1.12867636440812
33	1.1877645015265
34	-0.141358861355127
35	-0.102385924236751
36	-0.0634128871183757
37	-0.0138548499999998
38	0.0853501871183757
39	-0.0584310757632489
40	0.0108557613551266
41	0.0292675484735024
42	-0.528903914408122
43	-0.837048777289747
44	-0.627746940171371
45	-0.558460103052995
46	-0.48917326593462
47	-0.725136428816244
48	-0.600349591697868
49	-0.531062754579493
50	-0.499320017461117
51	-0.676926580342742
52	-0.302389843224366
53	-0.25023750610599
54	0.00272763101238532
55	-0.000786631869239211
56	-0.0099670947508633
57	0.0985533423675122
58	0.586468779485888
59	0.744555616604263
60	0.742485353722639
61	0.672229290841015
62	0.69572862795939
63	0.993952965077766
64	0.288374402196141
65	0.369401639314517
66	0.400532176432892
67	0.294300313551268
68	-1.15517449933036
69	-0.80338846221198
70	-0.474639225093605
71	0.327247662024771
72	0.806495999143146
73	0.847383836261521
74	0.711689973379898
75	0.721798810498273
76	0.436265197616649
77	0.675135384735024
78	2.9118586718534
79	2.65651455897178
80	1.79026669609015
81	1.91754433320853
82	2.0303533703269
83	2.14316230744528
84	3.08491409456365
85	3.62251173168203
86	3.7146271688004
87	3.36126020591878
88	3.43837394303716
89	3.30416073015553
90	3.73348611727391
91	3.84973435439228
92	3.91902119151066
93	4.21322922862903
94	4.82133786574741
95	5.11894430286578
96	5.56368853998416
97	5.63704547710254
98	5.71040221422091
99	5.67590405133929
100	6.15585268845766
101	7.10670282557604
102	7.36697946269441
103	8.28312649981279
104	9.77065173693116
105	9.39850017404954
106	9.24975131116792
107	9.35392384828629
108	9.78951058540467
109	9.70339752252304
110	9.76983815964142
111	10.0835592967598
112	10.4940080338782
113	10.8685448709965
114	11.5013701081149
115	11.5343684452333
116	11.5968476823517
117	12.12780091947
118	12.4899507565884
119	12.4397017937068
120	12.3583476308252
121	12.4530581679436
122	12.6520764050619
123	13.5948478421803
124	13.7674499792987
125	14.0715446164171
126	14.1522545535354
127	14.2805605906538
128	14.1911935277722
129	14.4191342648906
130	15.1458826020089
131	15.2554221391273
132	15.2374946762457
133	15.1541566133641
134	15.9865686504824
135	16.2084804876008
136	16.4914423247192
137	16.4488041618376
138	16.7276959989559
139	16.9559258360743
140	17.0597506731927
141	17.5440765103111
142	17.5583633474294
143	17.7090501845478
144	18.1728140216662
145	18.2410568587846
146	17.9421056959029
147	18.0694955330213
148	18.6659843701397
149	18.7319732072581
150	19.0029700443764
151	19.4538198814948
152	19.5231067186132
153	19.6093515557316
154	19.8143053928499
155	19.8835922299683
156	19.9274410670867
157	20.7852909042051
158	20.8545777413234
159	20.8952665784418
160	21.1712134155602
161	22.0163442526786
162	22.130636089797
163	22.2449279269153
164	22.5509787640337
165	22.5189606011521
166	22.4124974382705
167	22.5138282753888
168	22.5515581125072
169	22.6851079496256
170	22.754394786744
171	23.1289316238623
172	23.1982184609807
173	23.3290682980991
174	23.2576531352175
175	23.4266609723358
176	23.5956678094542
177	23.8470036465726
178	23.257814483691
179	23.3440593208093
180	24.6570211579277
181	24.4209939950461
182	24.5497838321645
183	25.0086056692828
184	25.1567375064012
185	25.4921393435196
186	25.490984180638
187	25.3180090177563
188	25.4796098548747
189	26.2541436919931
190	26.2475885291115
191	26.4733553662298
192	27.3814282033482
193	27.4004920404666
194	27.004635877585
195	27.6268907147033
196	28.0260625518217
197	28.7561063889401
198	28.2400222260585
199	28.0833070631768
200	27.8854999002952
201	27.9665267374136
202	28.341063574532
203	28.2459854116504
204	28.3322302487687
205	28.9076580858871
206	28.9989349230055
