fittedT	fittedR
52	-22.8854554768698
53	-21.7223859208522
54	-20.560947621093
55	-19.401140506489
56	-18.242962256828
57	-17.0864105817542
58	-15.9314831837341
59	-14.7781777838611
60	-13.626492100788
61	-12.4764238605433
62	-11.3279707949434
63	-10.1811306711919
64	-9.03590139179225
65	-7.89228053423478
66	-6.7502658318034
67	-5.60985501778205
68	-4.47104582545467
69	-3.3338359881052
70	-2.19822323901757
71	-1.06420531147572
72	0.0682200612364028
73	1.19905514583488
74	2.32830206166036
75	3.45596238727466
76	4.58203897591196
77	5.7065340738489
78	6.82944992736212
79	7.95078878272829
80	9.07055288622403
81	10.188744484126
82	11.3053658227109
83	12.4204191482552
84	13.5339067070358
85	14.645830527143
86	15.7561917621376
87	16.8649935812798
88	17.9722381989827
89	19.0779278296592
90	20.1820646877222
91	21.2846509875849
92	22.3856889436603
93	23.4851807703612
94	24.5831286821008
95	25.6795348932919
96	26.7744013894029
97	27.8677291522188
98	28.9595214282594
99	30.0497803966366
100	31.1385082364621
101	32.2257071268475
102	33.3113792469048
103	34.3955267757457
104	35.4781518924818
105	36.5592567762251
106	37.6388436060871
107	38.7169143501125
108	39.7934699625636
109	40.868513639482
110	41.9420475255153
111	43.0140737653109
112	44.0845945035165
113	45.1536118847797
114	46.2211280537479
115	47.2871451550689
116	48.35166533339
117	49.414690733359
118	50.4762233724786
119	51.5362645484547
120	52.594817004447
121	53.6518828310263
122	54.707464115724
123	55.7615629430313
124	56.8141813943998
125	57.8653215482415
126	58.9149854799284
127	59.963175261793
128	61.0098929631279
129	62.055140650186
130	63.0989203861804
131	64.1412342312845
132	65.182084242632
133	66.2214724743167
134	67.2594009773928
135	68.2958717998748
136	69.3308869867372
137	70.364448583858
138	71.3965587309292
139	72.4272193796324
140	73.4564325644851
141	74.4842003170215
142	75.5105246657922
143	76.5354076363647
144	77.558851251323
145	78.5808575302678
146	79.6014284898163
147	80.6205661436023
148	81.6382725022764
149	82.6545495735057
150	83.669399361974
151	84.6828238693816
152	85.6948250944455
153	86.7054050328993
154	87.7145656774934
155	88.7223090179945
156	89.7286370411861
157	90.7335519201168
158	91.737055495622
159	92.7391497377263
160	93.7398366245681
161	94.7391181314083
162	95.7369962306302
163	96.7334728917394
164	97.7285500813641
165	98.7222297632545
166	99.7145138982837
167	100.705404444447
168	101.694903356861
169	102.683012587768
170	103.669734086528
171	104.655069799627
172	105.639021670672
173	106.621591640393
174	107.602781646642
175	108.582593624392
176	109.561029665117
177	110.538091602382
178	111.513781337934
179	112.488100798355
180	113.46105190745
181	114.432636586247
182	115.402856752996
183	116.371714323172
184	117.339211209472
185	118.305349321815
186	119.270130567344
187	120.233556850426
188	121.195630072649
189	122.156352132826
190	123.115724926991
191	124.073750348401
192	125.03043028754
193	125.985766632109
194	126.939761267036
195	127.892416174197
196	128.843733190773
197	129.793714163659
198	130.7423609689
199	131.689675479841
200	132.635659567117
201	133.580315098661
202	134.523643939702
203	135.465647952761
204	136.406328997657
205	137.345688931503
206	138.283729608707
207	139.220452880972
208	140.155860597297
209	141.089954603975
210	142.022736744596
211	142.954208860042
212	143.884372788494
213	144.813230365425
214	145.740783495202
215	146.667033994236
216	147.591983655081
217	148.515634304252
218	149.43798776562
219	150.359045860412
220	151.278810407211
221	152.197283221954
222	153.114466117936
223	154.030360905804
224	154.944969393565
225	155.858293386577
226	156.770334687558
227	157.681095096578
228	158.590576411065
229	159.4987804258
230	160.405708932923
231	161.311363721926
232	162.21574657966
233	163.11885931693
234	164.02070372472
235	164.92128156548
236	165.820594618223
237	166.718644659467
238	167.615433463242
239	168.510962801086
240	169.405234442046
241	170.298250152678
242	171.190011697048
243	172.08052083673
253	194.9659763136
254	194.836590793535
255	194.707289218867
256	194.578073314456
257	194.448943160704
258	194.319898686981
259	194.190939872626
