fittedT	fittedR
68	3.41223904570181
69	3.59260101393548
70	3.77291617776012
71	3.95318322045561
72	4.13340189844063
73	4.31357221002415
74	4.49369417165795
75	4.6737677915245
76	4.85379307805006
77	5.03377005488812
78	5.2136987199115
79	5.39357910597063
80	5.5734112016328
81	5.75319503919068
82	5.93293062565101
83	6.11261797406277
84	6.29225709747493
85	6.47184800893648
86	6.65139072149638
87	6.83088524820362
88	7.01033160210716
89	7.18972979625599
90	7.36907984332045
91	7.54838175545231
92	7.72763554652072
93	7.90684122953377
94	8.08599881749956
95	8.26510832342619
96	8.44416976032175
97	8.62318314119435
98	8.80214847905208
99	8.98106578690304
100	9.15993507681977
101	9.338756360847
102	9.51752965312784
103	9.6962549666026
104	9.87493231421162
105	10.0535617088953
106	10.2321431635938
107	10.4106766912476
108	10.5891623047971
109	10.7676000171825
110	10.9459898401797
111	11.1243317863409
112	11.302625869442
113	11.4808721023606
114	11.6590704979741
115	11.8372210691598
116	12.0153238287953
117	12.1933787897579
118	12.3713859649252
119	12.5493453671745
120	12.727257008337
121	12.9051209013882
122	13.0829370596382
123	13.2607054959196
124	13.4384262230652
125	13.6160992539078
126	13.7937246012799
127	13.9713022780144
128	14.148832296944
129	14.3263146709013
130	14.5037494103104
131	14.6811365292841
132	14.8584760412532
133	15.0357679590237
134	15.2130122954013
135	15.3902090631921
136	15.567358275202
137	15.7444599442367
138	15.9215140831023
139	16.0985207046045
140	16.2754798215493
141	16.4523914467427
142	16.6292555929904
143	16.8060722730984
144	16.9828414998726
145	17.1595632861188
146	17.336237644643
147	17.5128645882511
148	17.6894441253128
149	17.8659762709913
150	18.0424610391944
151	18.2188984426786
152	18.3952884942004
153	18.5716312065162
154	18.7479265923827
155	18.9241746645562
156	19.1003754357933
157	19.2765289188505
158	19.4526351264842
159	19.6286940714511
160	19.8047057665076
161	19.9806702244102
162	20.1565874579154
163	20.3324574797797
164	20.5082803027596
165	20.6840559396116
166	20.8597843975578
167	21.0354656922956
168	21.2110998379562
169	21.3866868472344
170	21.5622267328252
171	21.7377195074233
172	21.9131651837238
173	22.0885637744214
174	22.2639152922111
175	22.4392197497878
176	22.6144771598462
177	22.7896875350814
178	22.9648508881882
179	23.1399672318614
180	23.315036578796
181	23.4900589416868
182	23.6650343332288
183	23.8399627661168
184	24.0148442473406
185	24.1896787926267
186	24.3644664160871
187	24.5392071303531
188	24.7139009480561
189	24.8885478818273
190	25.0631479442983
191	25.2377011481002
192	25.4122075058646
193	25.5866670302228
194	25.7610797338061
195	25.9354456292459
196	26.1097647291736
197	26.2840370462205
198	26.458262593018
199	26.6324413821974
200	26.8065734263902
201	26.9806587382276
202	27.1546973247913
203	27.3286892016617
204	27.5026343828486
205	27.6765328809216
206	27.8503847084503
207	28.0241898780042
208	28.197948402153
209	28.3716602934661
210	28.5453255645132
211	28.7189442278638
212	28.8925162960876
213	29.066041781754
214	29.2395206974327
215	29.4129530556932
216	29.586338869105
217	29.7596781502379
218	29.9329709116613
219	30.1062171659448
220	30.2794169217142
221	30.452570193457
222	30.625676994657
223	30.7987373377897
224	30.9717512353277
225	31.1447186997403
226	31.3176397434936
227	31.4905143790503
228	31.6633426188702
229	31.8361244754098
230	32.0088599611222
231	32.1815490884575
232	32.3541918698626
233	32.5267883177811
234	32.6993384446534
235	32.8718422629167
236	33.044299785005
237	33.2167110233491
238	33.3890759902022
239	33.5613946980463
240	33.7336671593335
241	33.9058933864701
242	34.0780733918586
243	34.2502071878979
244	34.4222947869827
245	34.5943362015042
246	34.7663314438496
247	34.9382805264022
248	35.1101834615417
272	31.6979444158398
273	31.6970342727451
274	31.6961241551463
275	31.6952140635803
276	31.6943039956556
277	31.6933939533288
278	31.6924839366
279	31.6915739454691
280	31.6906639799362
281	31.6897540400013
282	31.6888441256643
283	31.6879342369253
284	31.6870243737842
285	31.6861145362411
286	31.6852047257818
287	31.6842949411906
288	31.6833851824675
289	31.6824754496125
290	31.6815657426256
291	31.6806560615068
