fittedT	fittedR
165	8.75558114301008
166	8.81888158257609
167	8.88215476707388
168	8.94539989346109
169	9.00861664721601
170	9.07180497350422
171	9.13496488618483
172	9.19809638729485
173	9.26119951345036
174	9.32427425712715
175	9.38732061389315
176	9.45033864780286
177	9.5133283280835
178	9.57628966531453
179	9.63922271450008
180	9.70212744624384
181	9.76500387445907
182	9.82785203786743
183	9.8906719364169
184	9.95346358282602
185	10.0162269898133
186	10.0789621700972
187	10.1416691363963
188	10.2043479014291
189	10.2669984779142
190	10.3296208785699
191	10.392215116526
192	10.4547812047886
193	10.5173191556727
194	10.5798289819228
195	10.6423106962835
196	10.7047643114991
197	10.7671898403143
198	10.8295872954734
199	10.891956689721
200	10.9542980358015
201	11.0166113454763
202	11.0788966311783
203	11.1411539063486
204	11.2033831836793
205	11.2655844758626
206	11.3277577955909
207	11.3899031555563
208	11.4520205684511
209	11.5141100469676
210	11.5761716037979
211	11.6382052496798
212	11.7002109972401
213	11.7621888601606
214	11.8241388510441
215	11.8860609824934
216	11.9479552671115
217	12.0098217175012
218	12.0716603462654
219	12.133471166007
220	12.1952541893288
221	12.2570094268737
222	12.3187368916077
223	12.3804365968199
224	12.4421085550349
225	12.5037527787769
226	12.5653692805705
227	12.62695807294
228	12.6885191684099
229	12.7500525795047
230	12.8115583187488
231	12.8730363949513
232	12.9344868224752
233	12.9959096148283
234	13.0573047844869
235	13.1186723439273
236	13.1800123056258
237	13.2413246820587
238	13.3026094857024
239	13.3638667290331
240	13.4250964245273
241	13.4862985846611
242	13.547473221911
243	13.6086203487532
244	13.669739977664
245	13.7308321211199
246	13.791896791597
247	13.8529340015717
248	13.9139437557428
249	13.974926072728
250	14.0358809651656
251	14.0968084454534
252	14.1577085259893
253	14.2185812191709
254	14.279426537396
255	14.3402444930625
256	14.401035098568
257	14.4617983663104
258	14.5225343086874
259	14.5832429380967
260	14.6439242669363
261	14.7045783076038
262	14.765205072497
263	14.8258045740136
264	14.8863768230498
265	14.9469218250866
266	15.0074395992515
267	15.0679301578485
268	15.1283935131813
269	15.1888296775537
270	15.2492386632694
271	15.3096204826324
272	15.3699751479462
273	15.4303026715148
274	15.490603065642
275	15.5508763426315
276	15.6111225147871
277	15.6713415944126
278	15.7315335938118
279	15.7916985252885
280	15.8518364011465
281	15.9119472302716
282	15.9720310213616
283	16.032087792005
284	16.0921175544097
285	16.152120320784
286	16.2120961033358
287	16.2720449142732
288	16.3319667658042
289	16.3918616701369
290	16.4517296394793
291	16.5115706860396
292	16.5713848220257
293	16.6311720596457
294	16.6909324111077
295	16.7506658886197
296	16.8103725043897
297	16.8700522706259
298	16.9297051943172
299	16.989331287634
300	17.0489305663327
301	17.1085030425283
302	17.1680487283357
303	17.2275676358701
304	17.2870597772465
305	17.3465251645799
306	17.4059638099853
307	17.4653757255778
308	17.5247609234725
309	17.5841194157843
310	17.6434512146283
