Index	Average	Type
NaN	0	Negative
NaN	1.7888359313711	Positive
84	-3.59816804901764	Target
85	-2.87035089411245	Target
86	-1.02599227647243	Target
87	-0.944420243140199	Target
88	-2.14518432548978	Target
89	0.914350925491995	Target
90	-2.85521488431529	Target
91	-4.16051566666711	Target
92	15.741870176467	Target
93	-3.57635207450835	Target
94	-2.99343166470969	Target
95	-1.25687172353184	Target
96	-1.23737939215925	Target
97	-3.89122865490443	Target
98	-4.50093194510341	Target
99	-2.7003790333375	Target
100	-1.63390293529729	Target
101	-2.37197800980257	Target
102	-0.474209856859827	Target
NaN	0	Negative
103	2.06136391176052	Target
104	-1.41522607646509	Target
105	3.38118632352844	Target
106	8.94876990588062	Target
107	3.70589529804277	Target
108	7.98939006274204	Target
109	9.78280763333697	Target
110	4.67855083529553	Target
111	1.58636893725306	Target
112	-3.56175610196178	Target
NaN	0	Negative
113	-5.14205264314061	Target
114	3.93425732548563	Target
115	-3.15212910000307	Target
116	-2.21429734706066	Target
117	-6.1975650588279	Target
118	-3.06775177451517	Target
119	17.9345285392169	Target
120	2.08015199607597	Target
121	-1.34545196274592	Target
122	-6.22162093529543	Target
123	-4.48857779411771	Target
124	-5.06339595686757	Target
125	3.87998700000054	Target
126	-7.8714654058844	Target
127	-5.26652276862895	Target
